cell_id,Z,symbol,name,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,LIGHT,ACTION,GRAVITON
SIS-112,112,Cn,Copernicium,420,285.0,112,8313.666667,radioactive,-,-,1039.208333
SIS-113,113,Nh,Nihonium,423,286.0,113,8387.802083,radioactive,-,-,1048.475260
SIS-114,114,Fl,Flerovium,427,289.0,114,8462.062500,radioactive,-,-,1057.757812
SIS-115,115,Mc,Moscovium,431,290.0,115,8536.322917,radioactive,-,-,1067.040365
SIS-116,116,Lv,Livermorium,435,293.0,116,8610.583333,radioactive,-,-,1076.322917
SIS-117,117,Ts,Tennessine,438,294.0,117,8684.718750,radioactive,-,-,1085.589844
SIS-118,118,Og,Oganesson,442,294.0,118,8758.979167,radioactive,-,-,1094.872396
SIS-119,119,Z119,SAM frontier,446,-,119,8833.239583,-,-,-,1104.154948
SIS-120,120,Z120,SAM frontier,450,-,120,8907.500000,-,-,-,1113.437500
SIS-121,121,Z121,SAM frontier,463,-,121,8982.885417,-,-,-,1122.860677
SIS-122,122,Z122,SAM frontier,467,-,122,9057.145833,-,-,-,1132.143229
SIS-123,123,Z123,SAM frontier,471,-,123,9131.406250,-,-,-,1141.425781
SIS-124,124,Z124,SAM frontier,475,-,124,9205.666667,-,-,-,1150.708333
SIS-125,125,Z125,SAM frontier,479,-,125,9279.927083,-,-,-,1159.990885
SIS-126,126,Z126,SAM frontier,483,-,126,9354.187500,-,-,-,1169.273438
