row_id,platform,citation_tag,drive_frequency_label,omega_drive_rad_per_s,T2_observed_s,conditions,sample_type,decoupling_protocol,temperature_K,verify_status,inherited_from_CR069a_row,notes
11,NV_center_diamond,Romach_et_al_2015_PRL_114_017601,NV_resonant_2.87_GHz,1.8033e10,1.0e-5,"room temperature, shallow NV ~5 nm deep, surface-noise dominated",shallow_NV_natural_13C,Hahn_echo,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Surface-noise spectroscopy with shallow NV; representative T2; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
12,NV_center_diamond,Myers_et_al_2014_PRL_113_027602,NV_resonant_2.87_GHz,1.8033e10,5.0e-6,"room temperature, shallow NV near diamond surface",shallow_NV_natural_13C,Hahn_echo,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Probing surface noise with shallow NV; representative T2; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
13,NV_center_diamond,Abobeih_et_al_2018_Nature_Communications_9_2552,NV_resonant_2.87_GHz,1.8033e10,1.058,"3.7 K, isotopically purified 12C, decoupled single NV electron coupled to nuclear environment",isotopically_purified_12C_bulk,multi_pulse_DD,3.7,PROVISIONAL_AUTHOR_BEST_EFFORT,,"One-second coherence at cryo; representative; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
14,NV_center_diamond,Bauch_et_al_2018_PRX_8_031025,NV_resonant_2.87_GHz,1.8033e10,1.0e-3,"room temperature, NV ensemble, KDD decoupling",ensemble_natural_13C,KDD,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Ultralong ensemble T2 via KDD; representative; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
15,NV_center_diamond,Trusheim_et_al_2014_Nano_Letters_14_32,NV_resonant_2.87_GHz,1.8033e10,5.0e-5,"room temperature, ion-implanted single NV in HPHT diamond after annealing",ion_implanted_HPHT_bulk,Hahn_echo,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Implanted NV in HPHT; representative; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
16,NV_center_diamond,Naydenov_et_al_2010_PRL_105_030504,NV_nuclear_hyperfine_~3_MHz,1.88e7,7.0e-3,"room temperature, 13C nuclear spin in NV register, hyperfine drive",natural_13C_with_register,nuclear_memory,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Single-shot nuclear spin readout; representative T2 on nuclear memory; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
17,NV_center_diamond,Hall_et_al_2014_PRB_90_075201,NV_resonant_2.87_GHz,1.8033e10,3.0e-6,"room temperature, single NV at low magnetic field, Hahn echo",natural_13C_bulk,Hahn_echo,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Detection of NV polarization; representative T2 in low-field regime; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
18,NV_center_diamond,Bluvstein_et_al_2019_PRL_122_076101,NV_resonant_2.87_GHz,1.8033e10,1.0e-4,"room temperature, single NV with charge-state stabilization, DD",natural_13C_bulk,charge_stabilized_DD,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Charge instability mitigation; representative T2 post-stabilization; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
19,NV_center_diamond,Stanwix_et_al_2010_PRB_82_201201,NV_resonant_2.87_GHz,1.8033e10,5.0e-4,"room temperature, single NV in natural 13C, CPMG-N multi-pulse",natural_13C_bulk,CPMG_multi_pulse,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Multi-pulse coherence extension; representative; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
20,NV_center_diamond,Sushkov_et_al_2014_PRL_113_197601,NV_resonant_2.87_GHz,1.8033e10,2.0e-4,"room temperature, shallow NV near surface, XY-8 decoupling",shallow_NV_natural_13C,XY8,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Magnetic resonance detection of proton spins; representative shallow NV w/ DD; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
21,NV_center_diamond,Doherty_et_al_2013_Physics_Reports_528_1,NV_resonant_2.87_GHz,1.8033e10,2.0e-5,"room temperature, typical bulk single NV in natural 13C, Hahn echo",natural_13C_bulk,Hahn_echo,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Review reference for typical bulk NV Hahn-echo T2; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
22,NV_center_diamond,Acosta_et_al_2009_PRB_80_115202,NV_resonant_2.87_GHz,1.8033e10,5.0e-7,"room temperature, NV ensemble, T2* free induction decay",ensemble_natural_13C,free_induction_T2_star,295,PROVISIONAL_AUTHOR_BEST_EFFORT,,"Diamond NV magnetometry sensitivity; representative ensemble T2*; [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
