candidate_id,sob_id,Z,N,A,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_capacity,shell_occupancy,shell_status,residual_twelfths,constant_native_lane,G_fraction,GR_fraction,retained_7G_fraction,reference_clock,selector_neutral_vector_cardinality_z_le_81,selector_tensor_alpha_boundary_z_le_83,selector_carrier_hidden_clock,selector_wc_no_alpha_bridge_with_main_holes,selector_wc_no_hole_rejector,selector_wc_holes_without_alpha_offset,selector_wc_single_hole_no_tensor_shift,native_hole_rejector,native_hole_formula,construction_note
CR225-Z017,SOB17,17,18,35,17p+18n+17e,52u+53d+17e,2,5,3,18,7,OPEN_SHELL,5,CONSTANT_BOUND_LADDER_LANE,121001/768,121001/96,847007/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z018,SOB18,18,19,37,18p+19n+18e,55u+56d+18e,2,6,3,18,8,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,21353/128,21353/16,149471/128,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z019,SOB19,19,20,39,19p+20n+19e,58u+59d+19e,2,7,3,18,9,OPEN_SHELL,7,CONSTANT_BOUND_LADDER_LANE,135235/768,135235/96,946645/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z020,SOB20,20,21,41,20p+21n+20e,61u+62d+20e,2,8,3,18,10,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,8897/48,8897/6,62279/48,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z021,SOB21,21,22,43,21p+22n+21e,64u+65d+21e,2,9,3,18,11,OPEN_SHELL,9,CONSTANT_BOUND_LADDER_LANE,49823/256,49823/32,348761/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z022,SOB22,22,23,45,22p+23n+22e,67u+68d+22e,2,10,3,18,12,OPEN_SHELL,10,CONSTANT_BOUND_LADDER_LANE,78293/384,78293/48,548051/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z023,SOB23,23,24,47,23p+24n+23e,70u+71d+23e,2,11,3,18,13,OPEN_SHELL,11,CONSTANT_BOUND_LADDER_LANE,163703/768,163703/96,1145921/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z024,SOB24,24,26,50,24p+26n+24e,74u+76d+24e,2,12,3,18,14,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,3559/16,3559/2,24913/16,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z025,SOB25,25,29,54,25p+29n+25e,79u+83d+25e,3,1,3,18,15,OPEN_SHELL,2,CONSTANT_BOUND_LADDER_LANE,177973/768,177973/96,1245811/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z026,SOB26,26,30,56,26p+30n+26e,82u+86d+26e,3,2,3,18,16,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,92545/384,92545/48,647815/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z027,SOB27,27,31,58,27p+31n+27e,85u+89d+27e,3,3,3,18,17,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,64069/256,64069/32,448483/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z028,SOB28,28,32,60,28p+32n+28e,88u+92d+28e,3,4,3,18,18,CLOSED_SHELL,8,CONSTANT_BOUND_LADDER_LANE,49831/192,49831/24,348817/192,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z029,SOB29,29,33,62,29p+33n+29e,91u+95d+29e,3,5,4,32,1,OPEN_SHELL,10,CONSTANT_BOUND_LADDER_LANE,206441/768,206441/96,1445087/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z030,SOB30,30,35,65,30p+35n+30e,95u+100d+30e,3,6,4,32,2,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,35595/128,35595/16,249165/128,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z031,SOB31,31,36,67,31p+36n+31e,98u+103d+31e,3,7,4,32,3,OPEN_SHELL,2,CONSTANT_BOUND_LADDER_LANE,220687/768,220687/96,1544809/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z032,SOB32,32,37,69,32p+37n+32e,101u+106d+32e,3,8,4,32,4,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,56951/192,56951/24,398657/192,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z033,SOB33,33,38,71,33p+38n+33e,104u+109d+33e,3,9,4,32,5,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,78307/256,78307/32,548149/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z034,SOB34,34,39,73,34p+39n+34e,107u+112d+34e,3,10,4,32,6,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,121019/384,121019/48,847133/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z035,SOB35,35,40,75,35p+40n+35e,110u+115d+35e,3,11,4,32,7,OPEN_SHELL,10,CONSTANT_BOUND_LADDER_LANE,249155/768,249155/96,1744085/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z036,SOB36,36,42,78,36p+42n+36e,114u+120d+36e,3,12,4,32,8,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,21357/64,21357/8,149499/64,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z037,SOB37,37,46,83,37p+46n+37e,120u+129d+37e,4,1,4,32,9,OPEN_SHELL,3,CONSTANT_BOUND_LADDER_LANE,263437/768,263437/96,1844059/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z038,SOB38,38,47,85,38p+47n+38e,123u+132d+38e,4,2,4,32,10,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,135277/384,135277/48,946939/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z039,SOB39,39,48,87,39p+48n+39e,126u+135d+39e,4,3,4,32,11,OPEN_SHELL,9,CONSTANT_BOUND_LADDER_LANE,92557/256,92557/32,647899/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z040,SOB40,40,50,90,40p+50n+40e,130u+140d+40e,4,4,4,32,12,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,2225/6,8900/3,15575/6,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z041,SOB41,41,51,92,41p+51n+41e,133u+143d+41e,4,5,4,32,13,OPEN_SHELL,3,CONSTANT_BOUND_LADDER_LANE,291917/768,291917/96,2043419/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z042,SOB42,42,52,94,42p+52n+42e,136u+146d+42e,4,6,4,32,14,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,49839/128,49839/16,348873/128,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z043,SOB43,43,53,96,43p+53n+43e,139u+149d+43e,4,7,4,32,15,OPEN_SHELL,9,CONSTANT_BOUND_LADDER_LANE,306151/768,306151/96,2143057/768,radioactive,yes,yes,no,no,yes,yes,no,yes,H-alpha_H,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z044,SOB44,44,55,99,44p+55n+44e,143u+154d+44e,4,8,4,32,16,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,4895/12,9790/3,34265/12,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z045,SOB45,45,56,101,45p+56n+45e,146u+157d+45e,4,9,4,32,17,OPEN_SHELL,3,CONSTANT_BOUND_LADDER_LANE,106799/256,106799/32,747593/256,stable,yes,yes,yes,yes,yes,no,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z046,SOB46,46,57,103,46p+57n+46e,149u+160d+46e,4,10,4,32,18,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,163757/384,163757/48,1146299/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z047,SOB47,47,58,105,47p+58n+47e,152u+163d+47e,4,11,4,32,19,OPEN_SHELL,9,CONSTANT_BOUND_LADDER_LANE,334631/768,334631/96,2342417/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z048,SOB48,48,60,108,48p+60n+48e,156u+168d+48e,4,12,4,32,20,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,445,3560,3115,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z049,SOB49,49,65,114,49p+65n+49e,163u+179d+49e,5,1,4,32,21,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,348925/768,348925/96,2442475/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z050,SOB50,50,66,116,50p+66n+50e,166u+182d+50e,5,2,4,32,22,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,178021/384,178021/48,1246147/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z051,SOB51,51,68,119,51p+68n+51e,170u+187d+51e,5,3,4,32,23,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,121057/256,121057/32,847399/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z052,SOB52,52,69,121,52p+69n+52e,173u+190d+52e,5,4,4,32,24,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,23143/48,23143/6,162001/48,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z053,SOB53,53,70,123,53p+70n+53e,176u+193d+53e,5,5,4,32,25,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,377405/768,377405/96,2641835/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z054,SOB54,54,72,126,54p+72n+54e,180u+198d+54e,5,6,4,32,26,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,64089/128,64089/16,448623/128,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z055,SOB55,55,73,128,55p+73n+55e,183u+201d+55e,5,7,4,32,27,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,391651/768,391651/96,2741557/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z056,SOB56,56,74,130,56p+74n+56e,186u+204d+56e,5,8,4,32,28,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,24923/48,24923/6,174461/48,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z057,SOB57,57,76,133,57p+76n+57e,190u+209d+57e,5,9,4,32,29,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,135299/256,135299/32,947093/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z058,SOB58,58,77,135,58p+77n+58e,193u+212d+58e,5,10,4,32,30,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,206507/384,206507/48,1445549/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z059,SOB59,59,78,137,59p+78n+59e,196u+215d+59e,5,11,4,32,31,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,420131/768,420131/96,2940917/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z060,SOB60,60,80,140,60p+80n+60e,200u+220d+60e,5,12,4,32,32,CLOSED_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,35605/64,35605/8,249235/64,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z061,SOB61,61,86,147,61p+86n+61e,208u+233d+61e,6,1,5,32,1,OPEN_SHELL,5,CONSTANT_BOUND_LADDER_LANE,434437/768,434437/96,3041059/768,radioactive,yes,yes,no,no,yes,yes,yes,yes,H-alpha_H+T,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z062,SOB62,62,87,149,62p+87n+62e,211u+236d+62e,6,2,5,32,2,OPEN_SHELL,10,CONSTANT_BOUND_LADDER_LANE,220777/384,220777/48,1545439/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z063,SOB63,63,89,152,63p+89n+63e,215u+241d+63e,6,3,5,32,3,OPEN_SHELL,3,CONSTANT_BOUND_LADDER_LANE,149561/256,149561/32,1046927/256,stable,yes,yes,yes,yes,yes,no,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z064,SOB64,64,90,154,64p+90n+64e,218u+244d+64e,6,4,5,32,4,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,56975/96,56975/12,398825/96,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z065,SOB65,65,92,157,65p+92n+65e,222u+249d+65e,6,5,5,32,5,OPEN_SHELL,1,CONSTANT_BOUND_LADDER_LANE,462929/768,462929/96,3240503/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z066,SOB66,66,93,159,66p+93n+66e,225u+252d+66e,6,6,5,32,6,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,78341/128,78341/16,548387/128,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z067,SOB67,67,94,161,67p+94n+67e,228u+255d+67e,6,7,5,32,7,OPEN_SHELL,11,CONSTANT_BOUND_LADDER_LANE,477163/768,477163/96,3340141/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z068,SOB68,68,96,164,68p+96n+68e,232u+260d+68e,6,8,5,32,8,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,121073/192,121073/24,847511/192,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z069,SOB69,69,97,166,69p+97n+69e,235u+263d+69e,6,9,5,32,9,OPEN_SHELL,9,CONSTANT_BOUND_LADDER_LANE,163803/256,163803/32,1146621/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z070,SOB70,70,99,169,70p+99n+70e,239u+268d+70e,6,10,5,32,10,OPEN_SHELL,2,CONSTANT_BOUND_LADDER_LANE,249269/384,249269/48,1744883/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z071,SOB71,71,100,171,71p+100n+71e,242u+271d+71e,6,11,5,32,11,OPEN_SHELL,7,CONSTANT_BOUND_LADDER_LANE,505655/768,505655/96,3539585/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z072,SOB72,72,102,174,72p+102n+72e,246u+276d+72e,6,12,5,32,12,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,10683/16,10683/2,74781/16,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z073,SOB73,73,109,182,73p+109n+73e,255u+291d+73e,7,1,5,32,13,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,519973/768,519973/96,3639811/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z074,SOB74,74,111,185,74p+111n+74e,259u+296d+74e,7,2,5,32,14,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,263551/384,263551/48,1844857/384,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z075,SOB75,75,112,187,75p+112n+75e,262u+299d+75e,7,3,5,32,15,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,178073/256,178073/32,1246511/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z076,SOB76,76,114,190,76p+114n+76e,266u+304d+76e,7,4,5,32,16,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,135337/192,135337/24,947359/192,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z077,SOB77,77,115,192,77p+115n+77e,269u+307d+77e,7,5,5,32,17,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,548465/768,548465/96,3839255/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z078,SOB78,78,117,195,78p+117n+78e,273u+312d+78e,7,6,5,32,18,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,92599/128,92599/16,648193/128,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z079,SOB79,79,118,197,79p+118n+79e,276u+315d+79e,7,7,5,32,19,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,562711/768,562711/96,3938977/768,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z080,SOB80,80,120,200,80p+120n+80e,280u+320d+80e,7,8,5,32,20,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,35615/48,35615/6,249305/48,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z081,SOB81,81,121,202,81p+121n+81e,283u+323d+81e,7,9,5,32,21,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,192319/256,192319/32,1346233/256,stable,yes,yes,yes,yes,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z082,SOB82,82,123,205,82p+123n+82e,287u+328d+82e,7,10,5,32,22,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,292043/384,292043/48,2044301/384,stable,no,yes,yes,no,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
