graph_id,edge_id,node_u,node_v,edge_type,source_provenance,physical_interaction_claim
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_MEMBER_H2,SP01_EV02_TET4_EVEN_CONTROL_FRAME,SP01_EV02_TET4_EVEN_CONTROL_CORE_H2,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_MEMBER_O1,SP01_EV02_TET4_EVEN_CONTROL_FRAME,SP01_EV02_TET4_EVEN_CONTROL_CORE_O1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_CORE_B01,SP01_EV02_TET4_EVEN_CONTROL_CORE_O1,SP01_EV02_TET4_EVEN_CONTROL_CORE_H1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity,connectivity_only_no_order_or_energy
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_CORE_B02,SP01_EV02_TET4_EVEN_CONTROL_CORE_O1,SP01_EV02_TET4_EVEN_CONTROL_CORE_H2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity,connectivity_only_no_order_or_energy
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_HYDRATION_01,SP01_EV02_TET4_EVEN_CONTROL_FRAME,SP01_EV02_TET4_EVEN_CONTROL_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_HYDRATION_02,SP01_EV02_TET4_EVEN_CONTROL_FRAME,SP01_EV02_TET4_EVEN_CONTROL_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_HYDRATION_03,SP01_EV02_TET4_EVEN_CONTROL_FRAME,SP01_EV02_TET4_EVEN_CONTROL_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_HYDRATION_04,SP01_EV02_TET4_EVEN_CONTROL_FRAME,SP01_EV02_TET4_EVEN_CONTROL_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_MEMBER_H1,SP01_EV03_TET4_ODD_CONTROL_FRAME,SP01_EV03_TET4_ODD_CONTROL_CORE_H1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_MEMBER_H2,SP01_EV03_TET4_ODD_CONTROL_FRAME,SP01_EV03_TET4_ODD_CONTROL_CORE_H2,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_MEMBER_O1,SP01_EV03_TET4_ODD_CONTROL_FRAME,SP01_EV03_TET4_ODD_CONTROL_CORE_O1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_CORE_B01,SP01_EV03_TET4_ODD_CONTROL_CORE_O1,SP01_EV03_TET4_ODD_CONTROL_CORE_H1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity,connectivity_only_no_order_or_energy
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_CORE_B02,SP01_EV03_TET4_ODD_CONTROL_CORE_O1,SP01_EV03_TET4_ODD_CONTROL_CORE_H2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity,connectivity_only_no_order_or_energy
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_HYDRATION_01,SP01_EV03_TET4_ODD_CONTROL_FRAME,SP01_EV03_TET4_ODD_CONTROL_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_HYDRATION_02,SP01_EV03_TET4_ODD_CONTROL_FRAME,SP01_EV03_TET4_ODD_CONTROL_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_HYDRATION_03,SP01_EV03_TET4_ODD_CONTROL_FRAME,SP01_EV03_TET4_ODD_CONTROL_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP01_EV03_TET4_ODD_CONTROL,SP01_EV03_TET4_ODD_CONTROL_HYDRATION_04,SP01_EV03_TET4_ODD_CONTROL_FRAME,SP01_EV03_TET4_ODD_CONTROL_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP01_EV04_CORE_ONLY_CONTROL,SP01_EV04_CORE_ONLY_CONTROL_MEMBER_H1,SP01_EV04_CORE_ONLY_CONTROL_FRAME,SP01_EV04_CORE_ONLY_CONTROL_CORE_H1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV04_CORE_ONLY_CONTROL,SP01_EV04_CORE_ONLY_CONTROL_MEMBER_H2,SP01_EV04_CORE_ONLY_CONTROL_FRAME,SP01_EV04_CORE_ONLY_CONTROL_CORE_H2,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV04_CORE_ONLY_CONTROL,SP01_EV04_CORE_ONLY_CONTROL_MEMBER_O1,SP01_EV04_CORE_ONLY_CONTROL_FRAME,SP01_EV04_CORE_ONLY_CONTROL_CORE_O1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV04_CORE_ONLY_CONTROL,SP01_EV04_CORE_ONLY_CONTROL_CORE_B01,SP01_EV04_CORE_ONLY_CONTROL_CORE_O1,SP01_EV04_CORE_ONLY_CONTROL_CORE_H1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity,connectivity_only_no_order_or_energy
SP01_EV04_CORE_ONLY_CONTROL,SP01_EV04_CORE_ONLY_CONTROL_CORE_B02,SP01_EV04_CORE_ONLY_CONTROL_CORE_O1,SP01_EV04_CORE_ONLY_CONTROL_CORE_H2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity,connectivity_only_no_order_or_energy
SP02_EV01_OCT6_PRIMARY,SP02_EV01_OCT6_PRIMARY_MEMBER_Na1,SP02_EV01_OCT6_PRIMARY_FRAME,SP02_EV01_OCT6_PRIMARY_CORE_Na1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP02_EV01_OCT6_PRIMARY,SP02_EV01_OCT6_PRIMARY_HYDRATION_01,SP02_EV01_OCT6_PRIMARY_FRAME,SP02_EV01_OCT6_PRIMARY_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP02_EV01_OCT6_PRIMARY,SP02_EV01_OCT6_PRIMARY_HYDRATION_02,SP02_EV01_OCT6_PRIMARY_FRAME,SP02_EV01_OCT6_PRIMARY_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP02_EV01_OCT6_PRIMARY,SP02_EV01_OCT6_PRIMARY_HYDRATION_03,SP02_EV01_OCT6_PRIMARY_FRAME,SP02_EV01_OCT6_PRIMARY_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP02_EV01_OCT6_PRIMARY,SP02_EV01_OCT6_PRIMARY_HYDRATION_04,SP02_EV01_OCT6_PRIMARY_FRAME,SP02_EV01_OCT6_PRIMARY_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP02_EV01_OCT6_PRIMARY,SP02_EV01_OCT6_PRIMARY_HYDRATION_05,SP02_EV01_OCT6_PRIMARY_FRAME,SP02_EV01_OCT6_PRIMARY_W05,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP02_EV01_OCT6_PRIMARY,SP02_EV01_OCT6_PRIMARY_HYDRATION_06,SP02_EV01_OCT6_PRIMARY_FRAME,SP02_EV01_OCT6_PRIMARY_W06,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP02_EV02_TET4_EVEN_CONTROL,SP02_EV02_TET4_EVEN_CONTROL_MEMBER_Na1,SP02_EV02_TET4_EVEN_CONTROL_FRAME,SP02_EV02_TET4_EVEN_CONTROL_CORE_Na1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP02_EV02_TET4_EVEN_CONTROL,SP02_EV02_TET4_EVEN_CONTROL_HYDRATION_01,SP02_EV02_TET4_EVEN_CONTROL_FRAME,SP02_EV02_TET4_EVEN_CONTROL_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP02_EV02_TET4_EVEN_CONTROL,SP02_EV02_TET4_EVEN_CONTROL_HYDRATION_02,SP02_EV02_TET4_EVEN_CONTROL_FRAME,SP02_EV02_TET4_EVEN_CONTROL_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP02_EV02_TET4_EVEN_CONTROL,SP02_EV02_TET4_EVEN_CONTROL_HYDRATION_03,SP02_EV02_TET4_EVEN_CONTROL_FRAME,SP02_EV02_TET4_EVEN_CONTROL_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP02_EV02_TET4_EVEN_CONTROL,SP02_EV02_TET4_EVEN_CONTROL_HYDRATION_04,SP02_EV02_TET4_EVEN_CONTROL_FRAME,SP02_EV02_TET4_EVEN_CONTROL_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP02_EV03_TET4_ODD_CONTROL,SP02_EV03_TET4_ODD_CONTROL_MEMBER_Na1,SP02_EV03_TET4_ODD_CONTROL_FRAME,SP02_EV03_TET4_ODD_CONTROL_CORE_Na1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP02_EV03_TET4_ODD_CONTROL,SP02_EV03_TET4_ODD_CONTROL_HYDRATION_01,SP02_EV03_TET4_ODD_CONTROL_FRAME,SP02_EV03_TET4_ODD_CONTROL_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP02_EV03_TET4_ODD_CONTROL,SP02_EV03_TET4_ODD_CONTROL_HYDRATION_02,SP02_EV03_TET4_ODD_CONTROL_FRAME,SP02_EV03_TET4_ODD_CONTROL_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP02_EV03_TET4_ODD_CONTROL,SP02_EV03_TET4_ODD_CONTROL_HYDRATION_03,SP02_EV03_TET4_ODD_CONTROL_FRAME,SP02_EV03_TET4_ODD_CONTROL_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP02_EV03_TET4_ODD_CONTROL,SP02_EV03_TET4_ODD_CONTROL_HYDRATION_04,SP02_EV03_TET4_ODD_CONTROL_FRAME,SP02_EV03_TET4_ODD_CONTROL_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP02_EV04_CORE_ONLY_CONTROL,SP02_EV04_CORE_ONLY_CONTROL_MEMBER_Na1,SP02_EV04_CORE_ONLY_CONTROL_FRAME,SP02_EV04_CORE_ONLY_CONTROL_CORE_Na1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP03_EV01_OCT6_PRIMARY,SP03_EV01_OCT6_PRIMARY_MEMBER_K1,SP03_EV01_OCT6_PRIMARY_FRAME,SP03_EV01_OCT6_PRIMARY_CORE_K1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP03_EV01_OCT6_PRIMARY,SP03_EV01_OCT6_PRIMARY_HYDRATION_01,SP03_EV01_OCT6_PRIMARY_FRAME,SP03_EV01_OCT6_PRIMARY_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP03_EV01_OCT6_PRIMARY,SP03_EV01_OCT6_PRIMARY_HYDRATION_02,SP03_EV01_OCT6_PRIMARY_FRAME,SP03_EV01_OCT6_PRIMARY_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP03_EV01_OCT6_PRIMARY,SP03_EV01_OCT6_PRIMARY_HYDRATION_03,SP03_EV01_OCT6_PRIMARY_FRAME,SP03_EV01_OCT6_PRIMARY_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP03_EV01_OCT6_PRIMARY,SP03_EV01_OCT6_PRIMARY_HYDRATION_04,SP03_EV01_OCT6_PRIMARY_FRAME,SP03_EV01_OCT6_PRIMARY_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP03_EV01_OCT6_PRIMARY,SP03_EV01_OCT6_PRIMARY_HYDRATION_05,SP03_EV01_OCT6_PRIMARY_FRAME,SP03_EV01_OCT6_PRIMARY_W05,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP03_EV01_OCT6_PRIMARY,SP03_EV01_OCT6_PRIMARY_HYDRATION_06,SP03_EV01_OCT6_PRIMARY_FRAME,SP03_EV01_OCT6_PRIMARY_W06,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP03_EV02_TET4_EVEN_CONTROL,SP03_EV02_TET4_EVEN_CONTROL_MEMBER_K1,SP03_EV02_TET4_EVEN_CONTROL_FRAME,SP03_EV02_TET4_EVEN_CONTROL_CORE_K1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP03_EV02_TET4_EVEN_CONTROL,SP03_EV02_TET4_EVEN_CONTROL_HYDRATION_01,SP03_EV02_TET4_EVEN_CONTROL_FRAME,SP03_EV02_TET4_EVEN_CONTROL_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP03_EV02_TET4_EVEN_CONTROL,SP03_EV02_TET4_EVEN_CONTROL_HYDRATION_02,SP03_EV02_TET4_EVEN_CONTROL_FRAME,SP03_EV02_TET4_EVEN_CONTROL_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP03_EV02_TET4_EVEN_CONTROL,SP03_EV02_TET4_EVEN_CONTROL_HYDRATION_03,SP03_EV02_TET4_EVEN_CONTROL_FRAME,SP03_EV02_TET4_EVEN_CONTROL_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP03_EV02_TET4_EVEN_CONTROL,SP03_EV02_TET4_EVEN_CONTROL_HYDRATION_04,SP03_EV02_TET4_EVEN_CONTROL_FRAME,SP03_EV02_TET4_EVEN_CONTROL_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP03_EV03_TET4_ODD_CONTROL,SP03_EV03_TET4_ODD_CONTROL_MEMBER_K1,SP03_EV03_TET4_ODD_CONTROL_FRAME,SP03_EV03_TET4_ODD_CONTROL_CORE_K1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP03_EV03_TET4_ODD_CONTROL,SP03_EV03_TET4_ODD_CONTROL_HYDRATION_01,SP03_EV03_TET4_ODD_CONTROL_FRAME,SP03_EV03_TET4_ODD_CONTROL_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP03_EV03_TET4_ODD_CONTROL,SP03_EV03_TET4_ODD_CONTROL_HYDRATION_02,SP03_EV03_TET4_ODD_CONTROL_FRAME,SP03_EV03_TET4_ODD_CONTROL_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP03_EV03_TET4_ODD_CONTROL,SP03_EV03_TET4_ODD_CONTROL_HYDRATION_03,SP03_EV03_TET4_ODD_CONTROL_FRAME,SP03_EV03_TET4_ODD_CONTROL_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP03_EV03_TET4_ODD_CONTROL,SP03_EV03_TET4_ODD_CONTROL_HYDRATION_04,SP03_EV03_TET4_ODD_CONTROL_FRAME,SP03_EV03_TET4_ODD_CONTROL_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP03_EV04_CORE_ONLY_CONTROL,SP03_EV04_CORE_ONLY_CONTROL_MEMBER_K1,SP03_EV04_CORE_ONLY_CONTROL_FRAME,SP03_EV04_CORE_ONLY_CONTROL_CORE_K1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP04_EV01_OCT6_PRIMARY,SP04_EV01_OCT6_PRIMARY_MEMBER_Mg1,SP04_EV01_OCT6_PRIMARY_FRAME,SP04_EV01_OCT6_PRIMARY_CORE_Mg1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP04_EV01_OCT6_PRIMARY,SP04_EV01_OCT6_PRIMARY_HYDRATION_01,SP04_EV01_OCT6_PRIMARY_FRAME,SP04_EV01_OCT6_PRIMARY_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP04_EV01_OCT6_PRIMARY,SP04_EV01_OCT6_PRIMARY_HYDRATION_02,SP04_EV01_OCT6_PRIMARY_FRAME,SP04_EV01_OCT6_PRIMARY_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP04_EV01_OCT6_PRIMARY,SP04_EV01_OCT6_PRIMARY_HYDRATION_03,SP04_EV01_OCT6_PRIMARY_FRAME,SP04_EV01_OCT6_PRIMARY_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP04_EV01_OCT6_PRIMARY,SP04_EV01_OCT6_PRIMARY_HYDRATION_04,SP04_EV01_OCT6_PRIMARY_FRAME,SP04_EV01_OCT6_PRIMARY_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP04_EV01_OCT6_PRIMARY,SP04_EV01_OCT6_PRIMARY_HYDRATION_05,SP04_EV01_OCT6_PRIMARY_FRAME,SP04_EV01_OCT6_PRIMARY_W05,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP04_EV01_OCT6_PRIMARY,SP04_EV01_OCT6_PRIMARY_HYDRATION_06,SP04_EV01_OCT6_PRIMARY_FRAME,SP04_EV01_OCT6_PRIMARY_W06,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP04_EV02_TET4_EVEN_CONTROL,SP04_EV02_TET4_EVEN_CONTROL_MEMBER_Mg1,SP04_EV02_TET4_EVEN_CONTROL_FRAME,SP04_EV02_TET4_EVEN_CONTROL_CORE_Mg1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP04_EV02_TET4_EVEN_CONTROL,SP04_EV02_TET4_EVEN_CONTROL_HYDRATION_01,SP04_EV02_TET4_EVEN_CONTROL_FRAME,SP04_EV02_TET4_EVEN_CONTROL_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP04_EV02_TET4_EVEN_CONTROL,SP04_EV02_TET4_EVEN_CONTROL_HYDRATION_02,SP04_EV02_TET4_EVEN_CONTROL_FRAME,SP04_EV02_TET4_EVEN_CONTROL_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP04_EV02_TET4_EVEN_CONTROL,SP04_EV02_TET4_EVEN_CONTROL_HYDRATION_03,SP04_EV02_TET4_EVEN_CONTROL_FRAME,SP04_EV02_TET4_EVEN_CONTROL_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP04_EV02_TET4_EVEN_CONTROL,SP04_EV02_TET4_EVEN_CONTROL_HYDRATION_04,SP04_EV02_TET4_EVEN_CONTROL_FRAME,SP04_EV02_TET4_EVEN_CONTROL_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP04_EV03_TET4_ODD_CONTROL,SP04_EV03_TET4_ODD_CONTROL_MEMBER_Mg1,SP04_EV03_TET4_ODD_CONTROL_FRAME,SP04_EV03_TET4_ODD_CONTROL_CORE_Mg1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP04_EV03_TET4_ODD_CONTROL,SP04_EV03_TET4_ODD_CONTROL_HYDRATION_01,SP04_EV03_TET4_ODD_CONTROL_FRAME,SP04_EV03_TET4_ODD_CONTROL_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP04_EV03_TET4_ODD_CONTROL,SP04_EV03_TET4_ODD_CONTROL_HYDRATION_02,SP04_EV03_TET4_ODD_CONTROL_FRAME,SP04_EV03_TET4_ODD_CONTROL_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP04_EV03_TET4_ODD_CONTROL,SP04_EV03_TET4_ODD_CONTROL_HYDRATION_03,SP04_EV03_TET4_ODD_CONTROL_FRAME,SP04_EV03_TET4_ODD_CONTROL_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP04_EV03_TET4_ODD_CONTROL,SP04_EV03_TET4_ODD_CONTROL_HYDRATION_04,SP04_EV03_TET4_ODD_CONTROL_FRAME,SP04_EV03_TET4_ODD_CONTROL_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
SP04_EV04_CORE_ONLY_CONTROL,SP04_EV04_CORE_ONLY_CONTROL_MEMBER_Mg1,SP04_EV04_CORE_ONLY_CONTROL_FRAME,SP04_EV04_CORE_ONLY_CONTROL_CORE_Mg1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP05_EV01_OCT6_PRIMARY,SP05_EV01_OCT6_PRIMARY_MEMBER_Ca1,SP05_EV01_OCT6_PRIMARY_FRAME,SP05_EV01_OCT6_PRIMARY_CORE_Ca1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP05_EV01_OCT6_PRIMARY,SP05_EV01_OCT6_PRIMARY_HYDRATION_01,SP05_EV01_OCT6_PRIMARY_FRAME,SP05_EV01_OCT6_PRIMARY_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP05_EV01_OCT6_PRIMARY,SP05_EV01_OCT6_PRIMARY_HYDRATION_02,SP05_EV01_OCT6_PRIMARY_FRAME,SP05_EV01_OCT6_PRIMARY_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP05_EV01_OCT6_PRIMARY,SP05_EV01_OCT6_PRIMARY_HYDRATION_03,SP05_EV01_OCT6_PRIMARY_FRAME,SP05_EV01_OCT6_PRIMARY_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP05_EV01_OCT6_PRIMARY,SP05_EV01_OCT6_PRIMARY_HYDRATION_04,SP05_EV01_OCT6_PRIMARY_FRAME,SP05_EV01_OCT6_PRIMARY_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP05_EV01_OCT6_PRIMARY,SP05_EV01_OCT6_PRIMARY_HYDRATION_05,SP05_EV01_OCT6_PRIMARY_FRAME,SP05_EV01_OCT6_PRIMARY_W05,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP05_EV01_OCT6_PRIMARY,SP05_EV01_OCT6_PRIMARY_HYDRATION_06,SP05_EV01_OCT6_PRIMARY_FRAME,SP05_EV01_OCT6_PRIMARY_W06,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP05_EV02_TET4_EVEN_CONTROL,SP05_EV02_TET4_EVEN_CONTROL_MEMBER_Ca1,SP05_EV02_TET4_EVEN_CONTROL_FRAME,SP05_EV02_TET4_EVEN_CONTROL_CORE_Ca1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP05_EV02_TET4_EVEN_CONTROL,SP05_EV02_TET4_EVEN_CONTROL_HYDRATION_01,SP05_EV02_TET4_EVEN_CONTROL_FRAME,SP05_EV02_TET4_EVEN_CONTROL_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U tetrahedral realization not globally excluded,false
