candidate_id,bin,route_class,partition,depth,sign,q_abs,operator_class,closure_status,M_native,qA_source_support,category,pdg_anchor,sam_role,sub_role,sealed_cr_reference,notes
QP093A-0011,stable_matter_rows,single_write,4,0,negative,4,V4_1_SINGLE_WRITE,CLOSED_WRITE,6.0,6.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666668,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=4, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0012,stable_matter_rows,outer_binary_neutral,4,0,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,0.500,0.500,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=4, d=0",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0013,stable_matter_rows,single_write,6,0,positive,6,V4_1_SINGLE_WRITE,CLOSED_WRITE,7.50,7.812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=6, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0014,stable_matter_rows,single_write,6,0,negative,6,V4_1_SINGLE_WRITE,CLOSED_WRITE,9.0,9.375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=6, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0015,stable_matter_rows,outer_binary_neutral,6,0,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,0.750,0.750,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=6, d=0",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0016,stable_matter_rows,single_write,8,0,positive,8,V4_1_SINGLE_WRITE,CLOSED_WRITE,10.00,10.55555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=8, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0017,stable_matter_rows,single_write,8,0,negative,8,V4_1_SINGLE_WRITE,CLOSED_WRITE,12.0,12.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=8, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0018,stable_matter_rows,outer_binary_neutral,8,0,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,1.000,1.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=8, d=0",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0019,stable_matter_rows,single_write,9,0,positive,9,V4_1_SINGLE_WRITE,CLOSED_WRITE,11.25,11.953125,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=9, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0020,stable_matter_rows,single_write,9,0,negative,9,V4_1_SINGLE_WRITE,CLOSED_WRITE,13.5,14.34375,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=9, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0021,stable_matter_rows,outer_binary_neutral,9,0,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,1.125,1.125,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=9, d=0",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0022,stable_matter_rows,single_write,12,0,positive,12,V4_1_SINGLE_WRITE,CLOSED_WRITE,15.00,16.25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=12, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0023,stable_matter_rows,single_write,12,0,negative,12,V4_1_SINGLE_WRITE,CLOSED_WRITE,18.0,19.49999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,SAM_ORPHAN,,bow_trace_matter_only,matter-only observable at bow fixed point R,CR256 + CR269,"antimatter mirror structurally absent (A₊(12,0)=0); matter side qA=19.5"
QP093A-0024,stable_matter_rows,outer_binary_neutral,12,0,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,1.500,1.500,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=12, d=0",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0025,stable_matter_rows,single_write,1,1,positive,1,V4_1_SINGLE_WRITE,CLOSED_WRITE,15.00,15.10416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,SAM_ORPHAN,,heavier_positron_substrate_slot,positive-charge matter slot at d=1,Vol II.1 §10.5 + CR254,not the PDG positron; substrate address per c₊=5/4
QP093A-0026,stable_matter_rows,single_write,1,1,negative,1,V4_1_SINGLE_WRITE,CLOSED_WRITE,18.0,18.12499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,PDG_CANDIDATE,μ⁻ candidate,heavier_charged_lepton_minus (Vol II.1 §10.5),second-generation charged lepton slot,Vol II.1 §10.5 + CR254,PDG mapping consistent with identity class
QP093A-0027,stable_matter_rows,outer_binary_neutral,1,1,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,1.500,1.500,PDG_CANDIDATE,ν eigenstate m₂ candidate,neutrino_like (Vol II.1 §14.7),second neutrino mass eigenstate slot,Vol II.1 §14.7 + CR268,m₂²=ĥ=2 in CR268 spectrum; Majorana
QP093A-0028,stable_matter_rows,single_write,2,1,positive,2,V4_1_SINGLE_WRITE,CLOSED_WRITE,30.00,30.41666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=2, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0029,stable_matter_rows,single_write,2,1,negative,2,V4_1_SINGLE_WRITE,CLOSED_WRITE,36.0,36.50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=2, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0030,stable_matter_rows,outer_binary_neutral,2,1,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,3.000,3.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=2, d=1",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0031,stable_matter_rows,single_write,3,1,positive,3,V4_1_SINGLE_WRITE,CLOSED_WRITE,45.00,45.93749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=3, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0032,stable_matter_rows,single_write,3,1,negative,3,V4_1_SINGLE_WRITE,CLOSED_WRITE,54.0,55.12499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=3, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0033,stable_matter_rows,outer_binary_neutral,3,1,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,4.500,4.500,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=3, d=1",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0034,stable_matter_rows,single_write,4,1,positive,4,V4_1_SINGLE_WRITE,CLOSED_WRITE,60.00,61.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666668,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=4, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0035,stable_matter_rows,single_write,4,1,negative,4,V4_1_SINGLE_WRITE,CLOSED_WRITE,72.0,74.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=4, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0036,stable_matter_rows,outer_binary_neutral,4,1,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,6.000,6.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=4, d=1",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0037,stable_matter_rows,single_write,6,1,positive,6,V4_1_SINGLE_WRITE,CLOSED_WRITE,90.00,93.75000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=6, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0038,stable_matter_rows,single_write,6,1,negative,6,V4_1_SINGLE_WRITE,CLOSED_WRITE,108.0,112.5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=6, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0039,stable_matter_rows,outer_binary_neutral,6,1,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,9.000,9.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=6, d=1",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0040,stable_matter_rows,single_write,8,1,positive,8,V4_1_SINGLE_WRITE,CLOSED_WRITE,120.00,126.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=8, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0041,stable_matter_rows,single_write,8,1,negative,8,V4_1_SINGLE_WRITE,CLOSED_WRITE,144.0,152.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=8, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0042,stable_matter_rows,outer_binary_neutral,8,1,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,12.000,12.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=8, d=1",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0043,stable_matter_rows,single_write,9,1,positive,9,V4_1_SINGLE_WRITE,CLOSED_WRITE,135.00,143.437500,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=9, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0044,stable_matter_rows,single_write,9,1,negative,9,V4_1_SINGLE_WRITE,CLOSED_WRITE,162.0,172.12500,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=9, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0045,stable_matter_rows,outer_binary_neutral,9,1,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,13.500,13.500,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=9, d=1",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0046,stable_matter_rows,single_write,12,1,positive,12,V4_1_SINGLE_WRITE,CLOSED_WRITE,180.00,194.9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=12, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0047,stable_matter_rows,single_write,12,1,negative,12,V4_1_SINGLE_WRITE,CLOSED_WRITE,216.0,233.9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=12, d=1, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0048,stable_matter_rows,outer_binary_neutral,12,1,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,18.000,18.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=12, d=1",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0049,stable_matter_rows,single_write,1,2,positive,1,V4_1_SINGLE_WRITE,CLOSED_WRITE,180.00,181.2499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,SAM_ORPHAN,,third_generation_positron_substrate_slot,positive-charge matter slot at d=2,Vol II.1 §10.5 + CR254,not the PDG positron; substrate address per c₊=5/4
QP093A-0050,stable_matter_rows,single_write,1,2,negative,1,V4_1_SINGLE_WRITE,CLOSED_WRITE,216.0,217.4999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,PDG_CANDIDATE,τ⁻ candidate,third_generation_charged_lepton,third-generation charged lepton slot,Vol II.1 §9.4 (h_T=2) + CR268,PDG mapping extending Vol II.1 §10.5 pattern to d=2
QP093A-0051,stable_matter_rows,outer_binary_neutral,1,2,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,18.000,18.000,PDG_CANDIDATE,ν eigenstate m₃ candidate,"neutrino_like (heaviest, Vol II.1 §14.7)",third neutrino mass eigenstate slot,Vol II.1 §14.7 + CR268,m₃²=ĥ·Θ=36; m₃=ĥ·d̂=6; heaviest ν eigenstate; Majorana
QP093A-0052,stable_matter_rows,single_write,2,2,positive,2,V4_1_SINGLE_WRITE,CLOSED_WRITE,360.00,365.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=2, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0053,stable_matter_rows,single_write,2,2,negative,2,V4_1_SINGLE_WRITE,CLOSED_WRITE,432.0,438.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=2, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0054,stable_matter_rows,outer_binary_neutral,2,2,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,36.000,36.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=2, d=2",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0055,stable_matter_rows,single_write,3,2,positive,3,V4_1_SINGLE_WRITE,CLOSED_WRITE,540.00,551.2499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=3, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0056,stable_matter_rows,single_write,3,2,negative,3,V4_1_SINGLE_WRITE,CLOSED_WRITE,648.0,661.4999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=3, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0057,stable_matter_rows,outer_binary_neutral,3,2,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,54.000,54.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=3, d=2",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0058,stable_matter_rows,single_write,4,2,positive,4,V4_1_SINGLE_WRITE,CLOSED_WRITE,720.00,740.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=4, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0059,stable_matter_rows,single_write,4,2,negative,4,V4_1_SINGLE_WRITE,CLOSED_WRITE,864.0,888.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=4, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0060,stable_matter_rows,outer_binary_neutral,4,2,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,72.000,72.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=4, d=2",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0061,stable_matter_rows,single_write,6,2,positive,6,V4_1_SINGLE_WRITE,CLOSED_WRITE,1080.00,1125.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=6, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0062,stable_matter_rows,single_write,6,2,negative,6,V4_1_SINGLE_WRITE,CLOSED_WRITE,1296.0,1350.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=6, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0063,stable_matter_rows,outer_binary_neutral,6,2,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,108.000,108.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=6, d=2",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0064,unstable_resonance_rows,single_write,8,2,positive,8,V4_1_SINGLE_WRITE,CLOSED_WRITE,1440.00,1520.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=8, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0065,unstable_resonance_rows,single_write,8,2,negative,8,V4_1_SINGLE_WRITE,CLOSED_WRITE,1728.0,1824.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=8, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0066,unstable_resonance_rows,outer_binary_neutral,8,2,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,144.000,144.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=8, d=2",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0067,unstable_resonance_rows,single_write,9,2,positive,9,V4_1_SINGLE_WRITE,CLOSED_WRITE,1620.00,1721.250000,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=9, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0068,unstable_resonance_rows,single_write,9,2,negative,9,V4_1_SINGLE_WRITE,CLOSED_WRITE,1944.0,2065.50000,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=9, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0069,unstable_resonance_rows,outer_binary_neutral,9,2,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,162.000,162.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=9, d=2",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0070,unstable_resonance_rows,single_write,12,2,positive,12,V4_1_SINGLE_WRITE,CLOSED_WRITE,2160.00,2339.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=12, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0071,unstable_resonance_rows,single_write,12,2,negative,12,V4_1_SINGLE_WRITE,CLOSED_WRITE,2592.0,2807.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=12, d=2, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0072,unstable_resonance_rows,outer_binary_neutral,12,2,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,216.000,216.000,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=12, d=2",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0073,antimatter_conjugate_rows,conjugate_single_write,1,0,negative,1,V4_1_SINGLE_WRITE,CLOSED_CONJUGATE_WRITE,1.25,1.363570601851851851851851851851851851851851851851851851851851851851851851851851851851851851851851852,SAM_ORPHAN,,positron_substrate_slot_conjugate,antimatter conjugate of positron_substrate_slot at d=0,Vol II.1 §10.5 + CR256,"matter partner is a substrate slot, not physical positron; this row is not the physical electron"
QP093A-0074,antimatter_conjugate_rows,conjugate_single_write,1,0,positive,1,V4_1_SINGLE_WRITE,CLOSED_CONJUGATE_WRITE,1.5,1.384548611111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,PDG_CANDIDATE,e⁺ candidate,positron proper (A-op conjugate of e⁻ slot),first-generation charged antilepton,Vol II.1 §10.5 + CR256,physical positron under CR256 A-operator
QP093A-0075,antimatter_conjugate_rows,conjugate_single_write,2,0,negative,2,V4_1_SINGLE_WRITE,CLOSED_CONJUGATE_WRITE,2.50,2.957175925925925925925925925925925925925925925925925925925925925925925925925925925925925925925925927,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=2, d=0, antimatter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0076,antimatter_conjugate_rows,conjugate_single_write,2,0,positive,2,V4_1_SINGLE_WRITE,CLOSED_CONJUGATE_WRITE,3.0,2.534722222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=2, d=0, antimatter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0077,antimatter_conjugate_rows,conjugate_single_write,3,0,negative,3,V4_1_SINGLE_WRITE,CLOSED_CONJUGATE_WRITE,3.75,4.785156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=3, d=0, antimatter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0078,antimatter_conjugate_rows,conjugate_single_write,3,0,positive,3,V4_1_SINGLE_WRITE,CLOSED_CONJUGATE_WRITE,4.5,3.445312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=3, d=0, antimatter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0079,antimatter_conjugate_rows,conjugate_single_write,4,0,negative,4,V4_1_SINGLE_WRITE,CLOSED_CONJUGATE_WRITE,5.00,6.851851851851851851851851851851851851851851851851851851851851851851851851851851851851851851851851853,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=4, d=0, antimatter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0080,antimatter_conjugate_rows,conjugate_single_write,4,0,positive,4,V4_1_SINGLE_WRITE,CLOSED_CONJUGATE_WRITE,6.0,4.111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=4, d=0, antimatter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
