check_id,status,observed,detail
P11_qga016_probability_surface,PASS,"[0.14285714285714285, 0.5714285714285714, 0.2857142857142857]","QGA016 unresolved probabilities are 1/7, 4/7, 2/7"
P12_route_values_preserved,PASS,"{""qga018"": [0.14285714285714285, 0.5714285714285714, 0.2857142857142857], ""qga019"": {""r0"": 0.14285714285714285, ""r1"": 0.5714285714285714, ""r2"": 0.2857142857142857}}",QGA018 and QGA019 preserve the QGA016 route surface
P13_gamma_res_threshold,PASS,"{""g678_gamma_res"": 0.5, ""q018_threshold"": 0.5, ""q019_threshold"": 0.5, ""selector_u"": 0.6}",Gamma_res and I_phys threshold remain 1/2 with selector u=0.60
P14_selected_route_r1,PASS,"{""g678"": ""r1"", ""qga018"": ""r1"", ""qga019"": ""r1""}",the same route r1 is selected through the chain
P15_selected_contact_value,PASS,"{""full_coherent"": 1.0, ""selected"": 0.5714285714285714}",QGA019 contact functional and G678 selected overlap are preserved
P16_resolution_status,PASS,"{""g678"": ""RESOLVED_BY_PHYSICAL_INTERACTION"", ""qga018_below"": ""withheld_unresolved"", ""qga018_completed"": ""completed_write""}",below-threshold state remains unresolved and selected interaction completes the write
P17_human_readout_is_delayed,PASS,"{""cat_state_written_before_human_readout"": true, ""human_role"": ""delayed local readout"", ""measurement"": ""A-resolution into a written state"", ""resolution_cause"": ""detector_cat_environment_contact_forces_A_resolution""}","human observation is readout after physical interaction, not the cause"
P18_imported_qga019_matches,PASS,"{""QGA019_verdict"": ""QGA019_PASS_I_PHYS_CONTACT_OVERLAP_FUNCTIONAL"", ""QGA021_verdict"": ""QGA021_PASS_THRESHOLD_HALF_SLOT_ORIGIN"", ""i_phys_functional"": ""|<C,E>|^2/(<E,E><C,C>)"", ""threshold_origin"": ""D_route / 6 primitive half-slots = 1/2""}",G678 imports the current QGA019 verdict and functional form
P19_qga016_checks_all_pass,PASS,"{""field"": ""pass"", ""rows"": 18}",QGA016_checks contains only passing check rows
P19_qga018_checks_all_pass,PASS,"{""field"": ""pass"", ""rows"": 20}",QGA018_checks contains only passing check rows
P19_qga019_checks_all_pass,PASS,"{""field"": ""pass"", ""rows"": 20}",QGA019_checks contains only passing check rows
P19_g678_checks_all_pass,PASS,"{""field"": ""passed"", ""rows"": 7}",G678_checks contains only passing check rows
WC1_rejected,PASS,probability_only,QGA018 keeps below-threshold probability withheld_unresolved
WC2_rejected,PASS,withheld_unresolved,QGA019 r0 is below I_threshold=1/2
WC3_rejected,PASS,r1,"QGA018, QGA019, and G678 all select r1"
WC4_rejected,PASS,delayed local readout,G678 resolves at detector/cat/environment contact
WC5_rejected,PASS,match,G678 imported QGA019 verdict and functional match current QGA019
