element_closure_id,Z,N,A,proton_count,neutron_count_primary,electron_count,total_particle_count,quark_u_count,quark_d_count,quark_e_count,P_address,quark_address,native_element_capacity,radix_cycle,radix_slot,shell_period,shell_n,shell_capacity,shell_occupancy,shell_status,selected_depth_index,residual_twelfths,primary_ladder_role,constant_native_lane,constant_surface_status,kappa_floor_fraction,kappa_eff_fraction,neutron_excess_N_minus_Z,G_fraction,G_decimal,GR_fraction,GR_decimal,retained_7G_fraction,retained_7G_decimal,known_symbol,known_name,reference_clock,card_source,construction_source
CR222-EZ011,11,11,22,11,11,11,33,33,33,11,11p+11n+11e,33u+33d+11e,126,1,11,3,3,18,1,OPEN_SHELL,0,0,FLOOR_PRIMARY,CONSTANT_STABLE_ANCHOR_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,7117/768,0,78287/768,101.9361979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,78287/96,815.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,548009/768,713.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ012,12,12,24,12,12,12,36,36,36,12,12p+12n+12e,36u+36d+12e,126,1,12,3,3,18,2,OPEN_SHELL,0,0,FLOOR_PRIMARY,CONSTANT_STABLE_ANCHOR_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,7117/768,0,7117/64,111.203125,7117/8,889.625,49819/64,778.421875,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ013,13,14,27,13,14,13,40,40,41,13,13p+14n+13e,40u+41d+13e,126,2,1,3,3,18,3,OPEN_SHELL,1,1,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,92533/9984,1,92533/768,120.4856770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,92533/96,963.8854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,647731/768,843.3997395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ014,14,15,29,14,15,14,43,43,44,14,14p+15n+14e,43u+44d+14e,126,2,2,3,3,18,4,OPEN_SHELL,1,2,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,49825/5376,1,49825/384,129.7526041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,49825/48,1038.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,348775/384,908.2682291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ015,15,16,31,15,16,15,46,46,47,15,15p+16n+15e,46u+47d+15e,126,2,3,3,3,18,5,OPEN_SHELL,1,3,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,11863/1280,1,35589/256,139.01953125,35589/32,1112.15625,249123/256,973.13671875,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ016,16,17,33,16,17,16,49,49,50,16,16p+17n+16e,49u+50d+16e,126,2,4,3,3,18,6,OPEN_SHELL,1,4,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,28471/3072,1,28471/192,148.2864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,28471/24,1186.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,199297/192,1038.005208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ017,17,18,35,17,18,17,52,52,53,17,17p+18n+17e,52u+53d+17e,126,2,5,3,3,18,7,OPEN_SHELL,1,5,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,121001/13056,1,121001/768,157.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,121001/96,1260.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,847007/768,1102.873697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ018,18,19,37,18,19,18,55,55,56,18,18p+19n+18e,55u+56d+18e,126,2,6,3,3,18,8,OPEN_SHELL,1,6,FLOOR_PRIMARY,CONSTANT_HALF_WRITE_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,21353/2304,1,21353/128,166.8203125,21353/16,1334.5625,149471/128,1167.7421875,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ019,19,20,39,19,20,19,58,58,59,19,19p+20n+19e,58u+59d+19e,126,2,7,3,3,18,9,OPEN_SHELL,1,7,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,135235/14592,1,135235/768,176.0872395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,135235/96,1408.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,946645/768,1232.610677083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ020,20,21,41,20,21,20,61,61,62,20,20p+21n+20e,61u+62d+20e,126,2,8,3,3,18,10,OPEN_SHELL,1,8,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,8897/960,1,8897/48,185.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,8897/6,1482.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,62279/48,1297.479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ021,21,22,43,21,22,21,64,64,65,21,21p+22n+21e,64u+65d+21e,126,2,9,3,3,18,11,OPEN_SHELL,1,9,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,49823/5376,1,49823/256,194.62109375,49823/32,1556.96875,348761/256,1362.34765625,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ022,22,23,45,22,23,22,67,67,68,22,22p+23n+22e,67u+68d+22e,126,2,10,3,3,18,12,OPEN_SHELL,1,10,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,78293/8448,1,78293/384,203.8880208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,78293/48,1631.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,548051/384,1427.216145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ023,23,24,47,23,24,23,70,70,71,23,23p+24n+23e,70u+71d+23e,126,2,11,3,3,18,13,OPEN_SHELL,1,11,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,163703/17664,1,163703/768,213.1549479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,163703/96,1705.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1145921/768,1492.084635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ024,24,26,50,24,26,24,74,74,76,24,24p+26n+24e,74u+76d+24e,126,2,12,3,3,18,14,OPEN_SHELL,1,0,FLOOR_PRIMARY,CONSTANT_STABLE_ANCHOR_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,3559/384,2,3559/16,222.4375,3559/2,1779.5,24913/16,1557.0625,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ025,25,29,54,25,29,25,79,79,83,25,25p+29n+25e,79u+83d+25e,126,3,1,3,3,18,15,OPEN_SHELL,2,2,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,177973/19200,4,177973/768,231.7356770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,177973/96,1853.885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1245811/768,1622.149739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ026,26,30,56,26,30,26,82,82,86,26,26p+30n+26e,82u+86d+26e,126,3,2,3,3,18,16,OPEN_SHELL,2,4,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,92545/9984,4,92545/384,241.0026041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,92545/48,1928.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,647815/384,1687.018229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ027,27,31,58,27,31,27,85,85,89,27,27p+31n+27e,85u+89d+27e,126,3,3,3,3,18,17,OPEN_SHELL,2,6,FLOOR_PRIMARY,CONSTANT_HALF_WRITE_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,64069/6912,4,64069/256,250.26953125,64069/32,2002.15625,448483/256,1751.88671875,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ028,28,32,60,28,32,28,88,88,92,28,28p+32n+28e,88u+92d+28e,126,3,4,3,3,18,18,CLOSED_SHELL,2,8,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,49831/5376,4,49831/192,259.5364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,49831/24,2076.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,348817/192,1816.755208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ029,29,33,62,29,33,29,91,91,95,29,29p+33n+29e,91u+95d+29e,126,3,5,4,4,32,1,OPEN_SHELL,2,10,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,206441/22272,4,206441/768,268.8033854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,206441/96,2150.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1445087/768,1881.623697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ030,30,35,65,30,35,30,95,95,100,30,30p+35n+30e,95u+100d+30e,126,3,6,4,4,32,2,OPEN_SHELL,2,0,FLOOR_PRIMARY,CONSTANT_STABLE_ANCHOR_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,2373/256,5,35595/128,278.0859375,35595/16,2224.6875,249165/128,1946.6015625,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ031,31,36,67,31,36,31,98,98,103,31,31p+36n+31e,98u+103d+31e,126,3,7,4,4,32,3,OPEN_SHELL,2,2,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,220687/23808,5,220687/768,287.3528645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,220687/96,2298.822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1544809/768,2011.470052083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ032,32,37,69,32,37,32,101,101,106,32,32p+37n+32e,101u+106d+32e,126,3,8,4,4,32,4,OPEN_SHELL,2,4,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,56951/6144,5,56951/192,296.6197916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,56951/24,2372.958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,398657/192,2076.338541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ033,33,38,71,33,38,33,104,104,109,33,33p+38n+33e,104u+109d+33e,126,3,9,4,4,32,5,OPEN_SHELL,2,6,FLOOR_PRIMARY,CONSTANT_HALF_WRITE_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,78307/8448,5,78307/256,305.88671875,78307/32,2447.09375,548149/256,2141.20703125,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ034,34,39,73,34,39,34,107,107,112,34,34p+39n+34e,107u+112d+34e,126,3,10,4,4,32,6,OPEN_SHELL,2,8,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,121019/13056,5,121019/384,315.1536458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,121019/48,2521.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,847133/384,2206.075520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ035,35,40,75,35,40,35,110,110,115,35,35p+40n+35e,110u+115d+35e,126,3,11,4,4,32,7,OPEN_SHELL,2,10,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,49831/5376,5,249155/768,324.4205729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,249155/96,2595.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1744085/768,2270.944010416666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ036,36,42,78,36,42,36,114,114,120,36,36p+42n+36e,114u+120d+36e,126,3,12,4,4,32,8,OPEN_SHELL,2,0,FLOOR_PRIMARY,CONSTANT_STABLE_ANCHOR_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,2373/256,6,21357/64,333.703125,21357/8,2669.625,149499/64,2335.921875,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ037,37,46,83,37,46,37,120,120,129,37,37p+46n+37e,120u+129d+37e,126,4,1,4,4,32,9,OPEN_SHELL,3,3,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,263437/28416,9,263437/768,343.0169270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,263437/96,2744.135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1844059/768,2401.118489583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ038,38,47,85,38,47,38,123,123,132,38,38p+47n+38e,123u+132d+38e,126,4,2,4,4,32,10,OPEN_SHELL,3,6,FLOOR_PRIMARY,CONSTANT_HALF_WRITE_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,135277/14592,9,135277/384,352.2838541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,135277/48,2818.270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,946939/384,2465.986979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ039,39,48,87,39,48,39,126,126,135,39,39p+48n+39e,126u+135d+39e,126,4,3,4,4,32,11,OPEN_SHELL,3,9,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,92557/9984,9,92557/256,361.55078125,92557/32,2892.40625,647899/256,2530.85546875,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ040,40,50,90,40,50,40,130,130,140,40,40p+50n+40e,130u+140d+40e,126,4,4,4,4,32,12,OPEN_SHELL,3,0,FLOOR_PRIMARY,CONSTANT_STABLE_ANCHOR_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,445/48,10,2225/6,370.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,8900/3,2966.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,15575/6,2595.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ041,41,51,92,41,51,41,133,133,143,41,41p+51n+41e,133u+143d+41e,126,4,5,4,4,32,13,OPEN_SHELL,3,3,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,291917/31488,10,291917/768,380.1002604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,291917/96,3040.802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2043419/768,2660.701822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ042,42,52,94,42,52,42,136,136,146,42,42p+52n+42e,136u+146d+42e,126,4,6,4,4,32,14,OPEN_SHELL,3,6,FLOOR_PRIMARY,CONSTANT_HALF_WRITE_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,16613/1792,10,49839/128,389.3671875,49839/16,3114.9375,348873/128,2725.5703125,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ043,43,53,96,43,53,43,139,139,149,43,43p+53n+43e,139u+149d+43e,126,4,7,4,4,32,15,OPEN_SHELL,3,9,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,306151/33024,10,306151/768,398.6341145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,306151/96,3189.072916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,2143057/768,2790.438802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ044,44,55,99,44,55,44,143,143,154,44,44p+55n+44e,143u+154d+44e,126,4,8,4,4,32,16,OPEN_SHELL,3,0,FLOOR_PRIMARY,CONSTANT_STABLE_ANCHOR_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,445/48,11,4895/12,407.9166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,9790/3,3263.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,34265/12,2855.416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ045,45,56,101,45,56,45,146,146,157,45,45p+56n+45e,146u+157d+45e,126,4,9,4,4,32,17,OPEN_SHELL,3,3,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,106799/11520,11,106799/256,417.18359375,106799/32,3337.46875,747593/256,2920.28515625,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ046,46,57,103,46,57,46,149,149,160,46,46p+57n+46e,149u+160d+46e,126,4,10,4,4,32,18,OPEN_SHELL,3,6,FLOOR_PRIMARY,CONSTANT_HALF_WRITE_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,163757/17664,11,163757/384,426.4505208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,163757/48,3411.604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1146299/384,2985.153645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ047,47,58,105,47,58,47,152,152,163,47,47p+58n+47e,152u+163d+47e,126,4,11,4,4,32,19,OPEN_SHELL,3,9,FLOOR_PRIMARY,CONSTANT_BOUND_LADDER_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,334631/36096,11,334631/768,435.7174479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,334631/96,3485.739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2342417/768,3050.022135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-EZ048,48,60,108,48,60,48,156,156,168,48,48p+60n+48e,156u+168d+48e,126,4,12,4,4,32,20,OPEN_SHELL,3,0,FLOOR_PRIMARY,CONSTANT_STABLE_ANCHOR_LANE,CONSTANT_NATIVE_SURFACE_Z001_Z118,7117/768,445/48,12,445,445,3560,3560,3115,3115,,,,,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
