row_id,bin,partition_signature,q_abs,q_sign,closure_depth,qA_source_support,identity_rule,conjugate_partner
QP093A-0038,stable_matter_rows,6,6,negative,1,112.5,quark_like_charged,QP093A-0098
QP093A-0039,stable_matter_rows,6,0,neutral,1,9,neutral_higher_partition,
QP093A-0040,stable_matter_rows,8,8,positive,1,126.6666667,quark_like_charged,QP093A-0099
QP093A-0041,stable_matter_rows,8,8,negative,1,152,quark_like_charged,QP093A-0100
QP093A-0042,stable_matter_rows,8,0,neutral,1,12,neutral_higher_partition,
QP093A-0043,stable_matter_rows,9,9,positive,1,143.4375,quark_like_charged,QP093A-0101
QP093A-0044,stable_matter_rows,9,9,negative,1,172.125,quark_like_charged,QP093A-0102
QP093A-0045,stable_matter_rows,9,0,neutral,1,13.5,neutral_higher_partition,
QP093A-0046,stable_matter_rows,12,12,positive,1,195,quark_like_charged,QP093A-0103
QP093A-0047,stable_matter_rows,12,12,negative,1,234,quark_like_charged,QP093A-0104
QP093A-0048,stable_matter_rows,12,0,neutral,1,18,neutral_higher_partition,
QP093A-0073,antimatter_conjugate_rows,1,1,negative,0,1.363570602,electron_like_minus,QP093A-0001
QP093A-0074,antimatter_conjugate_rows,1,1,positive,0,1.384548611,positron_substrate_slot,QP093A-0002
QP093A-0075,antimatter_conjugate_rows,2,2,negative,0,2.957175926,quark_like_charged,QP093A-0004
QP093A-0076,antimatter_conjugate_rows,2,2,positive,0,2.534722222,quark_like_charged,QP093A-0005
QP093A-0077,antimatter_conjugate_rows,3,3,negative,0,4.78515625,quark_like_charged,QP093A-0007
QP093A-0078,antimatter_conjugate_rows,3,3,positive,0,3.4453125,quark_like_charged,QP093A-0008
QP093A-0079,antimatter_conjugate_rows,4,4,negative,0,6.851851852,quark_like_charged,QP093A-0010
QP093A-0080,antimatter_conjugate_rows,4,4,positive,0,4.111111111,quark_like_charged,QP093A-0011
QP093A-0081,antimatter_conjugate_rows,6,6,negative,0,11.71875,quark_like_charged,QP093A-0013
QP093A-0082,antimatter_conjugate_rows,6,6,positive,0,4.6875,quark_like_charged,QP093A-0014
QP093A-0083,antimatter_conjugate_rows,8,8,negative,0,17.59259259,quark_like_charged,QP093A-0016
QP093A-0084,antimatter_conjugate_rows,8,8,positive,0,4.222222222,quark_like_charged,QP093A-0017
QP093A-0085,antimatter_conjugate_rows,9,9,negative,0,20.91796875,quark_like_charged,QP093A-0019
QP093A-0086,antimatter_conjugate_rows,9,9,positive,0,3.5859375,quark_like_charged,QP093A-0020
QP093A-0087,antimatter_conjugate_rows,12,12,negative,0,32.5,quark_like_charged,QP093A-0022
QP093A-0088,antimatter_conjugate_rows,12,12,positive,0,0,quark_like_charged,QP093A-0023
QP093A-0089,antimatter_conjugate_rows,1,1,negative,1,15.20905671,heavier_charged_lepton_minus,QP093A-0025
QP093A-0090,antimatter_conjugate_rows,1,1,positive,1,17.99913194,heavier_positron_substrate_slot,QP093A-0026
QP093A-0091,antimatter_conjugate_rows,2,2,negative,1,30.83912037,quark_like_charged,QP093A-0028
QP093A-0092,antimatter_conjugate_rows,2,2,positive,1,35.99305556,quark_like_charged,QP093A-0029
QP093A-0093,antimatter_conjugate_rows,3,3,negative,1,46.89453125,quark_like_charged,QP093A-0031
QP093A-0094,antimatter_conjugate_rows,3,3,positive,1,53.9765625,quark_like_charged,QP093A-0032
QP093A-0095,antimatter_conjugate_rows,4,4,negative,1,63.37962963,quark_like_charged,QP093A-0034
QP093A-0096,antimatter_conjugate_rows,4,4,positive,1,71.94444444,quark_like_charged,QP093A-0035
QP093A-0097,antimatter_conjugate_rows,6,6,negative,1,97.65625,quark_like_charged,QP093A-0037
QP093A-0098,antimatter_conjugate_rows,6,6,positive,1,107.8125,quark_like_charged,QP093A-0038
QP093A-0099,antimatter_conjugate_rows,8,8,negative,1,133.7037037,quark_like_charged,QP093A-0040
QP093A-0100,antimatter_conjugate_rows,8,8,positive,1,143.5555556,quark_like_charged,QP093A-0041
QP093A-0101,antimatter_conjugate_rows,9,9,negative,1,152.4023438,quark_like_charged,QP093A-0043
QP093A-0102,antimatter_conjugate_rows,9,9,positive,1,161.3671875,quark_like_charged,QP093A-0044
QP093A-0103,antimatter_conjugate_rows,12,12,negative,1,211.25,quark_like_charged,QP093A-0046
QP093A-0104,antimatter_conjugate_rows,12,12,positive,1,214.5,quark_like_charged,QP093A-0047
