isotope,Z,N,A,atomic_mass_u,mass_uncertainty_u,measurement_class,source_table,confidence_lane,notes
F-19,9,10,19,18.99840316273,9.2e-10,direct,AME2020,LANE_A_HARD_MEASURED,fluorine-19
Ne-20,10,10,20,19.99244017617,1.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,neon-20 (symmetric)
Ne-22,10,12,22,21.99138511439,1.8e-9,direct,AME2020,LANE_A_HARD_MEASURED,neon-22
Na-23,11,12,23,22.98976928196,1.9e-9,direct,AME2020,LANE_A_HARD_MEASURED,sodium-23
Mg-24,12,12,24,23.98504169703,1.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,magnesium-24 (symmetric)
Mg-25,12,13,25,24.98583697590,5.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,magnesium-25
Mg-26,12,14,26,25.98259296900,3.1e-9,direct,AME2020,LANE_A_HARD_MEASURED,magnesium-26
Al-27,13,14,27,26.98153853000,3.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,aluminum-27
Si-28,14,14,28,27.97692653500,4.4e-10,direct,AME2020,LANE_A_HARD_MEASURED,silicon-28 (symmetric)
P-31,15,16,31,30.97376199850,8.2e-10,direct,AME2020,LANE_A_HARD_MEASURED,phosphorus-31
S-32,16,16,32,31.97207117440,1.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,sulfur-32 (symmetric)
Cl-35,17,18,35,34.96885268000,4.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,chlorine-35
Ar-40,18,22,40,39.96238312240,1.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,argon-40 (most abundant Ar)
Ca-40,20,20,40,39.96259086600,2.2e-9,direct,AME2020,LANE_A_HARD_MEASURED,calcium-40 (symmetric heavy)
Ti-48,22,26,48,47.94794198000,4.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,titanium-48
Fe-56,26,30,56,55.93493752700,1.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,iron-56 (most-bound nucleus per A)
Ni-58,28,30,58,57.93534243000,5.6e-9,direct,AME2020,LANE_A_HARD_MEASURED,nickel-58
Cu-63,29,34,63,62.92959772000,5.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,copper-63
Zn-64,30,34,64,63.92914201000,7.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,zinc-64
Br-79,35,44,79,78.91833710000,1.4e-8,direct,AME2020,LANE_A_HARD_MEASURED,bromine-79
Kr-84,36,48,84,83.91149773000,3.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,krypton-84
Ag-107,47,60,107,106.90509682000,1.5e-8,direct,AME2020,LANE_A_HARD_MEASURED,silver-107
Sn-120,50,70,120,119.90220163000,9.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,tin-120
I-127,53,74,127,126.90447190000,3.9e-8,direct,AME2020,LANE_A_HARD_MEASURED,iodine-127
Xe-132,54,78,132,131.90415509000,2.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,xenon-132
Cs-133,55,78,133,132.90545196000,2.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,cesium-133
Au-197,79,118,197,196.96656879500,2.0e-8,direct,AME2020,LANE_A_HARD_MEASURED,gold-197
Hg-200,80,120,200,199.96832590000,4.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,mercury-200
Pb-208,82,126,208,207.97665225200,1.9e-9,direct,AME2020,LANE_A_HARD_MEASURED,lead-208 (doubly magic)
Th-232,90,142,232,232.03805400000,1.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,thorium-232
U-235,92,143,235,235.04392990800,1.9e-9,direct,AME2020,LANE_A_HARD_MEASURED,uranium-235
U-238,92,146,238,238.05078826800,2.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,uranium-238
