stage,role,path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,exact_match
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_permutation_aggregates.csv,a762a11d6fa160e3e5d8b1d391af3a44ea5f031f9c6b70109b34befc0b0d6e9d,a762a11d6fa160e3e5d8b1d391af3a44ea5f031f9c6b70109b34befc0b0d6e9d,11715,11715,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_permutation_ranks.csv,c67f42e92a358a3cb6d8fd492d3fddfe8468b97ab07172878c41609daafefedf,c67f42e92a358a3cb6d8fd492d3fddfe8468b97ab07172878c41609daafefedf,2019,2019,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_permutation_runs.csv,e084b8fc846d1ac0e5d7f53e126c75a3224ca166361fd293fb62b46ae21217df,e084b8fc846d1ac0e5d7f53e126c75a3224ca166361fd293fb62b46ae21217df,430738,430738,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_same_total_comparison.csv,d4f6a27cad9bc552777a1f18ca8d33d134e761fd7dc86cbf929c7033fc466649,d4f6a27cad9bc552777a1f18ca8d33d134e761fd7dc86cbf929c7033fc466649,1697,1697,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_shell_volume_allocations.csv,67f94d41568df03294eec64e35fe263f582dc0cca8ce23783c789736fd930b84,67f94d41568df03294eec64e35fe263f582dc0cca8ce23783c789736fd930b84,1310,1310,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_source_contract.json,4ba359bbacbcbe57da15edb9638fc22aabec280c9f8bd25855f44bf5615ea8b8,4ba359bbacbcbe57da15edb9638fc22aabec280c9f8bd25855f44bf5615ea8b8,1832,1832,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_uniform_same_total_runs.csv,9fe9dd658df5b154a95f231b0a6b6b6b7b340e6f3b89885346009f138799fa0f,9fe9dd658df5b154a95f231b0a6b6b6b7b340e6f3b89885346009f138799fa0f,18744,18744,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_wrong_controls.csv,0af221dceeb369e772b1f0e615628a3bd7e46dae972b2c4fa9c3eb0bff3bbb27,0af221dceeb369e772b1f0e615628a3bd7e46dae972b2c4fa9c3eb0bff3bbb27,587,587,True
before_replay,pre_replay_output_presentation_only,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_collapse_contact_plate.html,2b233f6f8b1efce37f7e32ca33f345f9684aa59f488f10982e90cd723294f49a,2b233f6f8b1efce37f7e32ca33f345f9684aa59f488f10982e90cd723294f49a,12852,12852,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT_REPORT.md,7d493e4202094413945a1bc7e3fe6d19fef8e6f2a99b4f65c98595c4ddf6b26b,7d493e4202094413945a1bc7e3fe6d19fef8e6f2a99b4f65c98595c4ddf6b26b,2441,2441,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_collapse_contact_summary.json,99105e9e5a4847552d7071eb24d290645b2cca8f4ce58f1ae43d6cbcd0898756,99105e9e5a4847552d7071eb24d290645b2cca8f4ce58f1ae43d6cbcd0898756,8676,8676,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_ladders.csv,4177402d2e0e74958258b027640ce00e440057116fb7c94a80b02c6baa2bce59,4177402d2e0e74958258b027640ce00e440057116fb7c94a80b02c6baa2bce59,1245,1245,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_no_fit_controls.csv,c61af7e370f09ab4b4c26b8343ae46f88ef8b5533b08cd4a328d7179d735c362,c61af7e370f09ab4b4c26b8343ae46f88ef8b5533b08cd4a328d7179d735c362,808,808,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_permutations.csv,1797583060489b55e4950697aa1f4b2c0de44cb7598ad70a5925b936b8d4bb91,1797583060489b55e4950697aa1f4b2c0de44cb7598ad70a5925b936b8d4bb91,333,333,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_runwise_ladders.csv,18358f5dc314afec7d7a28399b73a290bdba2d98a599fbc3d46be715bde63be6,18358f5dc314afec7d7a28399b73a290bdba2d98a599fbc3d46be715bde63be6,8465,8465,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_same_total.csv,98f210cc6a22b8834127e69bb90bf0568c7a19f88eca83329d717ce249b3cc0e,98f210cc6a22b8834127e69bb90bf0568c7a19f88eca83329d717ce249b3cc0e,4816,4816,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_source_contract.json,baa0cea5008eb01fe92670d90f3ca06bdcf4809973790215d5b2cb59664cf5b3,baa0cea5008eb01fe92670d90f3ca06bdcf4809973790215d5b2cb59664cf5b3,2737,2737,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_signature_contract.json,f9399c0d30e0dc320e605fe22ec621d1332463714dca390b38fc141768d8de2a,f9399c0d30e0dc320e605fe22ec621d1332463714dca390b38fc141768d8de2a,1263,1263,True
after_replay,source_code,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\starbreaker_3d_density_geometry.py,c45517f1a6c8bf86504edc304252c4ebf9029f366e42d607bb33d00cbd729cd4,c45517f1a6c8bf86504edc304252c4ebf9029f366e42d607bb33d00cbd729cd4,47127,47127,True
after_replay,source_runner,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\run_starbreaker_3d_density_geometry.py,fd9617a1c74c9495e476b465263acbd92cce8610db69d8f70db8da407925a664,fd9617a1c74c9495e476b465263acbd92cce8610db69d8f70db8da407925a664,9760,9760,True
after_replay,source_tests,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\tests\test_starbreaker_3d_density_geometry.py,2bc12719c6daa6c430a51c821d3e1215f7a6c92c2787c191c8047c16129ca3e0,2bc12719c6daa6c430a51c821d3e1215f7a6c92c2787c191c8047c16129ca3e0,3393,3393,True
after_replay,source_code,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\starbreaker_external_collapse_contact.py,43e205330ffa613f4a94c7b1ec6ca7b837a32c02f07aed0d88ca401587ec319f,43e205330ffa613f4a94c7b1ec6ca7b837a32c02f07aed0d88ca401587ec319f,19093,19093,True
after_replay,source_runner,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\run_starbreaker_external_collapse_contact.py,1374ac0c4cfe838c391b93d4119e89fe0b16e5cadf77dd1849ff1ef7409a0060,1374ac0c4cfe838c391b93d4119e89fe0b16e5cadf77dd1849ff1ef7409a0060,17355,17355,True
after_replay,source_tests,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\tests\test_starbreaker_external_collapse_contact.py,0cb4bf33f1bef43e320582bf70d49e71c94fc46df71547818c71e6ccd1c9593e,0cb4bf33f1bef43e320582bf70d49e71c94fc46df71547818c71e6ccd1c9593e,3357,3357,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\STARBREAKER_3D_DENSITY_GEOMETRY_REPORT.md,5dcfeb6dd3179763dfe9ab9f14123da615bedb03448af16824d8317c6942ffd5,5dcfeb6dd3179763dfe9ab9f14123da615bedb03448af16824d8317c6942ffd5,6058,6058,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_density_geometry_summary.json,523118a315235a760a64ba533d175d0da1cf50b35d345f930a5c5bfcc23c7b74,523118a315235a760a64ba533d175d0da1cf50b35d345f930a5c5bfcc23c7b74,34497,34497,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_density_runs.csv,fe0236f419b93d6d64f9e32ac7cb978ccd13dee054cb64c0bed7f71b22a70857,fe0236f419b93d6d64f9e32ac7cb978ccd13dee054cb64c0bed7f71b22a70857,88758,88758,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_effect_summary.csv,4e7aab6a24d1ca606cac799d755a6a117ef728184ed74c0df6f74272a7eed396,4e7aab6a24d1ca606cac799d755a6a117ef728184ed74c0df6f74272a7eed396,5837,5837,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_permutation_aggregates.csv,a762a11d6fa160e3e5d8b1d391af3a44ea5f031f9c6b70109b34befc0b0d6e9d,a762a11d6fa160e3e5d8b1d391af3a44ea5f031f9c6b70109b34befc0b0d6e9d,11715,11715,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_permutation_ranks.csv,c67f42e92a358a3cb6d8fd492d3fddfe8468b97ab07172878c41609daafefedf,c67f42e92a358a3cb6d8fd492d3fddfe8468b97ab07172878c41609daafefedf,2019,2019,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_permutation_runs.csv,e084b8fc846d1ac0e5d7f53e126c75a3224ca166361fd293fb62b46ae21217df,e084b8fc846d1ac0e5d7f53e126c75a3224ca166361fd293fb62b46ae21217df,430738,430738,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_same_total_comparison.csv,d4f6a27cad9bc552777a1f18ca8d33d134e761fd7dc86cbf929c7033fc466649,d4f6a27cad9bc552777a1f18ca8d33d134e761fd7dc86cbf929c7033fc466649,1697,1697,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_shell_volume_allocations.csv,67f94d41568df03294eec64e35fe263f582dc0cca8ce23783c789736fd930b84,67f94d41568df03294eec64e35fe263f582dc0cca8ce23783c789736fd930b84,1310,1310,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_source_contract.json,4ba359bbacbcbe57da15edb9638fc22aabec280c9f8bd25855f44bf5615ea8b8,4ba359bbacbcbe57da15edb9638fc22aabec280c9f8bd25855f44bf5615ea8b8,1832,1832,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_uniform_same_total_runs.csv,9fe9dd658df5b154a95f231b0a6b6b6b7b340e6f3b89885346009f138799fa0f,9fe9dd658df5b154a95f231b0a6b6b6b7b340e6f3b89885346009f138799fa0f,18744,18744,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_wrong_controls.csv,0af221dceeb369e772b1f0e615628a3bd7e46dae972b2c4fa9c3eb0bff3bbb27,0af221dceeb369e772b1f0e615628a3bd7e46dae972b2c4fa9c3eb0bff3bbb27,587,587,True
after_replay,pre_replay_output_presentation_only,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_collapse_contact_plate.html,2b233f6f8b1efce37f7e32ca33f345f9684aa59f488f10982e90cd723294f49a,2b233f6f8b1efce37f7e32ca33f345f9684aa59f488f10982e90cd723294f49a,12852,12852,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT_REPORT.md,7d493e4202094413945a1bc7e3fe6d19fef8e6f2a99b4f65c98595c4ddf6b26b,7d493e4202094413945a1bc7e3fe6d19fef8e6f2a99b4f65c98595c4ddf6b26b,2441,2441,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_collapse_contact_summary.json,99105e9e5a4847552d7071eb24d290645b2cca8f4ce58f1ae43d6cbcd0898756,99105e9e5a4847552d7071eb24d290645b2cca8f4ce58f1ae43d6cbcd0898756,8676,8676,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_ladders.csv,4177402d2e0e74958258b027640ce00e440057116fb7c94a80b02c6baa2bce59,4177402d2e0e74958258b027640ce00e440057116fb7c94a80b02c6baa2bce59,1245,1245,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_no_fit_controls.csv,c61af7e370f09ab4b4c26b8343ae46f88ef8b5533b08cd4a328d7179d735c362,c61af7e370f09ab4b4c26b8343ae46f88ef8b5533b08cd4a328d7179d735c362,808,808,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_permutations.csv,1797583060489b55e4950697aa1f4b2c0de44cb7598ad70a5925b936b8d4bb91,1797583060489b55e4950697aa1f4b2c0de44cb7598ad70a5925b936b8d4bb91,333,333,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_runwise_ladders.csv,18358f5dc314afec7d7a28399b73a290bdba2d98a599fbc3d46be715bde63be6,18358f5dc314afec7d7a28399b73a290bdba2d98a599fbc3d46be715bde63be6,8465,8465,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_same_total.csv,98f210cc6a22b8834127e69bb90bf0568c7a19f88eca83329d717ce249b3cc0e,98f210cc6a22b8834127e69bb90bf0568c7a19f88eca83329d717ce249b3cc0e,4816,4816,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_contact_source_contract.json,baa0cea5008eb01fe92670d90f3ca06bdcf4809973790215d5b2cb59664cf5b3,baa0cea5008eb01fe92670d90f3ca06bdcf4809973790215d5b2cb59664cf5b3,2737,2737,True
after_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\outputs\starbreaker_external_signature_contract.json,f9399c0d30e0dc320e605fe22ec621d1332463714dca390b38fc141768d8de2a,f9399c0d30e0dc320e605fe22ec621d1332463714dca390b38fc141768d8de2a,1263,1263,True
