isotope,Z,N,A,atomic_mass_u,mass_uncertainty_u,measurement_class,source_table,confidence_lane,notes,Q_mass,Q_sub,dQ,B_u,asym_lhs,asym_rhs,asym_match
C-13,6,7,13,13.00335483521,2.3e-10,direct,AME2020,LANE_A_HARD_MEASURED,carbon-13,481.8802083333333,444.9375,36.942708333333336,-0.003354835210000573,2.832163835327475,2.832163835327475,True
C-14,6,8,14,14.00324198843,4.0e-10,direct,AME2020,LANE_A_HARD_MEASURED,carbon-14 (radioactive); direct,518.9479166666666,445.0625,73.88541666666667,-0.00324198843000012,10.51946567407348,10.51946567407348,True
N-14,7,7,14,14.00307400443,2.0e-10,direct,AME2020,LANE_A_HARD_MEASURED,nitrogen-14 (symmetric),518.9479166666666,518.9479166666666,0.0,-0.0030740044299992775,0.0,0.0,True
N-15,7,8,15,15.00010889823,6.3e-10,direct,AME2020,LANE_A_HARD_MEASURED,nitrogen-15,556.015625,519.0729166666666,36.942708333333336,-0.00010889822999970988,2.454541990617145,2.454541990617145,True
O-16,8,8,16,15.99491461957,1.7e-10,direct,AME2020,LANE_A_HARD_MEASURED,oxygen-16 (symmetric; doubly magic),593.0833333333334,593.0833333333334,0.0,0.005085380429999731,0.0,0.0,True
O-17,8,9,17,16.9991317565,6.9e-10,direct,AME2020,LANE_A_HARD_MEASURED,oxygen-17,630.1510416666666,593.2083333333334,36.942708333333336,0.0008682435000011424,2.165772344662187,2.165772344662187,True
O-18,8,10,18,17.99915961286,7.6e-10,direct,AME2020,LANE_A_HARD_MEASURED,oxygen-18,667.21875,593.3333333333334,73.88541666666667,0.0008403871399984553,8.181806635390483,8.181806635390483,True
F-19,9,10,19,18.99840316273,9.2e-10,direct,AME2020,LANE_A_HARD_MEASURED,fluorine-19,704.2864583333334,667.34375,36.942708333333336,0.001596837270000151,1.9377963083819567,1.9377963083819567,True
Ne-20,10,10,20,19.99244017617,1.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,neon-20 (symmetric),741.3541666666666,741.3541666666666,0.0,0.007559823830000312,0.0,0.0,True
Ne-22,10,12,22,21.99138511439,1.8e-9,direct,AME2020,LANE_A_HARD_MEASURED,neon-22,815.4895833333334,741.6041666666666,73.88541666666667,0.00861488561000101,6.694205428955851,6.694205428955851,True
Na-23,11,12,23,22.98976928196,1.9e-9,direct,AME2020,LANE_A_HARD_MEASURED,sodium-23,852.5572916666666,815.6145833333334,36.942708333333336,0.010230718039998976,1.600788254750312,1.600788254750312,True
Mg-24,12,12,24,23.98504169703,1.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,magnesium-24 (symmetric),889.625,889.625,0.0,0.014958302970001114,0.0,0.0,True
Mg-25,12,13,25,24.9858369759,5.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,magnesium-25,926.6927083333334,889.75,36.942708333333336,0.014163024100000143,1.472725194370287,1.472725194370287,True
Mg-26,12,14,26,25.982592969,3.1e-9,direct,AME2020,LANE_A_HARD_MEASURED,magnesium-26,963.7604166666666,889.875,73.88541666666667,0.017407031000001183,5.66432767065495,5.66432767065495,True
Al-27,13,14,27,26.98153853,3.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,aluminum-27,1000.828125,963.8854166666666,36.942708333333336,0.018461469999998315,1.3636344392317474,1.3636344392317474,True
Si-28,14,14,28,27.976926535,4.4e-10,direct,AME2020,LANE_A_HARD_MEASURED,silicon-28 (symmetric),1037.8958333333333,1037.8958333333333,0.0,0.023073464999999516,0.0,0.0,True
P-31,15,16,31,30.9737619985,8.2e-10,direct,AME2020,LANE_A_HARD_MEASURED,phosphorus-31,1149.0989583333333,1112.15625,36.942708333333336,0.026238001500001218,1.1876816083631347,1.1876816083631347,True
S-32,16,16,32,31.9720711744,1.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,sulfur-32 (symmetric),1186.1666666666667,1186.1666666666667,0.0,0.027928825600000096,0.0,0.0,True
Cl-35,17,18,35,34.96885268,4.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,chlorine-35,1297.3697916666667,1260.4270833333333,36.942708333333336,0.03114732000000231,1.051946567407348,1.051946567407348,True
Ar-40,18,22,40,39.9623831224,1.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,argon-40 (most abundant Ar),1482.7083333333333,1334.9375,147.77083333333334,0.03761687760000143,14.727251943702871,14.727251943702871,True
Ca-40,20,20,40,39.962590866,2.2e-9,direct,AME2020,LANE_A_HARD_MEASURED,calcium-40 (symmetric heavy),1482.7083333333333,1482.7083333333333,0.0,0.03740913400000068,0.0,0.0,True
Ti-48,22,26,48,47.94794198,4.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,titanium-48,1779.25,1631.4791666666667,147.77083333333334,0.05205801999999693,12.272709953085727,12.272709953085727,True
Fe-56,26,30,56,55.934937527,1.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,iron-56 (most-bound nucleus per A),2075.7916666666665,1928.0208333333333,147.77083333333334,0.06506247299999757,10.51946567407348,10.51946567407348,True
Ni-58,28,30,58,57.93534243,5.6e-9,direct,AME2020,LANE_A_HARD_MEASURED,nickel-58,2149.9270833333335,2076.0416666666665,73.88541666666667,0.06465757000000139,2.539181369603943,2.539181369603943,True
Cu-63,29,34,63,62.92959772,5.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,copper-63,2335.265625,2150.5520833333335,184.71354166666666,0.07040228000000326,14.610368991768722,14.610368991768722,True
Zn-64,30,34,64,63.92914201,7.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,zinc-64,2372.3333333333335,2224.5625,147.77083333333334,0.07085799000000037,9.204532464814294,9.204532464814294,True
Br-79,35,44,79,78.9183371,1.4e-8,direct,AME2020,LANE_A_HARD_MEASURED,bromine-79,2928.3489583333335,2595.8645833333335,332.484375,0.08166289999999776,37.75023441265609,37.75023441265609,True
Kr-84,36,48,84,83.91149773,3.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,krypton-84,3113.6875,2670.375,443.3125,0.08850227000000643,63.11679404444087,63.11679404444087,True
Ag-107,47,60,107,106.90509682,1.5e-8,direct,AME2020,LANE_A_HARD_MEASURED,silver-107,3966.2447916666665,3485.9895833333335,480.2552083333333,0.09490318000000286,58.15199949733143,58.15199949733143,True
Sn-120,50,70,120,119.90220163,9.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,tin-120,4448.125,3709.2708333333335,738.8541666666666,0.09779837000000668,122.72709953085726,122.72709953085726,True
I-127,53,74,127,126.9044719,3.9e-8,direct,AME2020,LANE_A_HARD_MEASURED,iodine-127,4707.598958333333,3931.8020833333335,775.796875,0.09552809999999567,127.84878163726312,127.84878163726312,True
Xe-132,54,78,132,131.90415509,2.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,xenon-132,4892.9375,4006.3125,886.625,0.09584491000001094,160.6609302949404,160.6609302949404,True
Cs-133,55,78,133,132.90545196,2.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,cesium-133,4930.005208333333,4080.3229166666665,849.6822916666666,0.0945480400000065,146.44203530486502,146.44203530486502,True
Au-197,79,118,197,196.966568795,2.0e-8,direct,AME2020,LANE_A_HARD_MEASURED,gold-197,7302.338541666667,5861.572916666667,1440.765625,0.03343120499999941,284.2658655630973,284.2658655630973,True
Hg-200,80,120,200,199.9683259,4.7e-9,direct,AME2020,LANE_A_HARD_MEASURED,mercury-200,7413.541666666667,5935.833333333333,1477.7083333333333,0.03167410000000359,294.5450388740574,294.5450388740574,True
Pb-208,82,126,208,207.976652252,1.9e-9,direct,AME2020,LANE_A_HARD_MEASURED,lead-208 (doubly magic),7710.083333333333,6084.604166666667,1625.4791666666667,0.023347747999991952,342.6918240746245,342.6918240746245,True
Th-232,90,142,232,232.038054,1.4e-9,direct,AME2020,LANE_A_HARD_MEASURED,thorium-232,8599.708333333334,6678.6875,1921.0208333333333,-0.038053999999988264,429.1216514630664,429.1216514630664,True
U-235,92,143,235,235.043929908,1.9e-9,direct,AME2020,LANE_A_HARD_MEASURED,uranium-235,8710.911458333334,6826.833333333333,1884.078125,-0.04392990799999552,407.5061947401188,407.5061947401188,True
U-238,92,146,238,238.050788268,2.0e-9,direct,AME2020,LANE_A_HARD_MEASURED,uranium-238,8822.114583333334,6827.208333333333,1994.90625,-0.05078826799999092,451.0994397882098,451.0994397882098,True
Ti-46,22,24,46,45.952626356,9.7e-08,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,1705.1145833333333,1631.2291666666667,73.88541666666667,0.04737364399999677,3.201576509500624,3.201576509500624,True
Cr-52,24,28,52,51.940504714,1.2e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,1927.5208333333333,1779.75,147.77083333333334,0.05949528600000065,11.3286553413099,11.3286553413099,True
Mn-55,25,30,55,54.93804304,2.79e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,2038.7239583333333,1854.0104166666667,184.71354166666666,0.06195696000000339,16.735513572389625,16.735513572389625,True
Co-59,27,32,59,58.933193524,4.26e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,2186.9947916666665,2002.28125,184.71354166666666,0.06680647599999645,15.600902482736092,15.600902482736092,True
Y-89,39,50,89,88.905838156,3.63e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,3299.0260416666665,2892.65625,406.3697916666667,0.0941618439999985,50.05610913449571,50.05610913449571,True
Zr-90,40,50,90,89.904698755,1.26e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,3336.09375,2966.6666666666665,369.4270833333333,0.0953012450000017,40.90903317695242,40.90903317695242,True
Ba-138,56,82,138,137.905247059,2.67e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,5115.34375,4154.833333333333,960.5104166666666,0.09475294099999587,180.3554767018685,180.3554767018685,True
Nd-142,60,82,142,141.907728824,1.348e-06,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,5263.614583333333,4450.875,812.7395833333334,0.09227117599999701,125.49278064704559,125.49278064704559,True
Sm-152,62,90,152,151.919738646,1.09e-06,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,5634.291666666667,4599.895833333333,1034.3958333333333,0.0802613539999868,189.90403822143176,189.90403822143176,True
Gd-158,64,94,158,157.9241112,1.048e-06,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,5856.697916666667,4748.416666666667,1108.28125,0.07588880000000131,209.72352451475606,209.72352451475606,True
Dy-162,66,96,162,161.926804507,7.46e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,6004.96875,4896.6875,1108.28125,0.07319549299998585,204.5451658847621,204.5451658847621,True
Er-166,68,98,166,165.930301067,3.58e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,6153.239583333333,5044.958333333333,1108.28125,0.06969893300001218,199.61636670681602,199.61636670681602,True
Yb-172,70,102,172,171.936386654,1.4e-08,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,6375.645833333333,5193.479166666667,1182.1666666666667,0.063613346000011,219.19630799929854,219.19630799929854,True
Hf-178,72,106,178,177.943708322,1.519e-06,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,6598.052083333333,5342.0,1256.0520833333333,0.056291678000008005,239.11100065899606,239.11100065899606,True
W-184,74,110,184,183.95093318,7.92e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,6820.458333333333,5490.520833333333,1329.9375,0.04906682000000728,259.3276972695506,259.3276972695506,True
Os-190,76,114,190,189.958445442,6.97e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,7042.864583333333,5639.041666666667,1403.8229166666667,0.04155455800000141,279.81778693035454,279.81778693035454,True
Pt-194,78,116,194,193.962683498,5.32e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,7191.135416666667,5787.3125,1403.8229166666667,0.03731650200001013,274.04834802457407,274.04834802457407,True
Hg-202,80,122,202,201.970643604,7.57e-07,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,out-of-sample relative to CR239/CR240 curated isotope set,7487.677083333333,5936.083333333333,1551.59375,0.029356395999997176,321.5206983748993,321.5206983748993,True
Pb-206,82,124,206,205.97446521,1.228e-06,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,replacement for draft Pb-208; Pb-208 is in CR239/CR240 curated set,7635.947916666667,6084.354166666667,1551.59375,0.0255347899999947,315.27757801810515,315.27757801810515,True
U-234,92,142,234,234.040950296,1.212e-06,evaluated_atomic_mass,AME2020 mass_1.mas20 via AMDC/IAEA,CR241_HOLDOUT_NOT_IN_CR239_CR240_CURATED_SET,replacement for draft U-235; U-235 is in CR239/CR240 curated set,8673.84375,6826.708333333333,1847.1354166666667,-0.04095029600000544,393.3560882399271,393.3560882399271,True
