phase,folder,summary_file,artifact,result_class,passed,summary_sha256
phase_2_reveal_map,qp091j,qp091j_summary.json,QP091J_DIRECT_CATEGORY_YIELD_REVEAL,PASS_QP091J_DIRECT_CATEGORY_REVEAL_EMITTED__NATIVE_NEAR_THIRDS_REJECTED_AS_PHYSICAL_CATEGORY_SHAPE__QP091H_SYMBOLIC_BOUNDARY_PRESERVED,True,66273a055dab03ba1feb9d8bc1c554774e05349ac84856d0f7e32bef6d5277f4
phase_2_reveal_map,qp091k,qp091k_summary.json,QP091K_ORDERED_DAUGHTER_ROUTE_PROJECTION,PASS_QP091K_ORDERED_DAUGHTER_ROUTE_PROJECTION__PRE_PROJECTION_LEDGER_TO_1_2_1_SURFACE__BOUNCE_CONSERVED_NO_RETUNING,True,5833da3056ae52ca0db6c5e69e96180a404fa2d68927242f26163721d2037645
phase_2_precision_audit,qp091l,qp091l_summary.json,QP091L_PRECISION_AUDIT_DIRECT_GENERATOR_REBUILD,PASS_QP091L_DIRECT_GENERATOR_PRECISION_AUDIT__ROUNDED_CHAIN_FOUND__20DP_REBUILD_EMITTED__COST_LAYER_SEPARATED,True,9c4b27cd2931dac8de06c6d1b01c43c8ddfd669bf3949ae07a9a528080c501ef
phase_2_native_EW_derivation,qp091m,qp091m_summary.json,QP091M_NATIVE_TREE_ELECTROWEAK_DERIVATION_RESTART,PASS_QP091M_NATIVE_TREE_EW_DERIVATION__COUPLINGS_AMPLITUDE_COEFFICIENTS_WZ_BRANCHING_CANDIDATES__HIGGS_FULL_WIDTH_OPEN,True,586928b199d7fb67e9a08fd568d6833753e92a8992444a85e118285398ec6d9f
phase_2_HZZ4l_half_ledger,qp091n,qp091n_summary.json,QP091N_HZZ4L_HALF_LEDGER_H_INFERENCE_CONTROLS,PASS_QP091N_HZZ4L_HALF_LEDGER_H_INFERENCE_CONTROLS__H_REMOVED_STILL_125_SCALE__H_SWAP_RANDOM_BREAKS__LABEL_SWAP_SIGN_FLIPS__WRONG_RADIX_FAILS,True,440a20c78f1ffc2ba77307be326de1f473614c948869a8e599fa634348f18ac6
phase_3_k2_correction_98pct,qp091o,qp091o_summary.json,QP091O_SCALAR_HZZ4L_NATIVE_2A0_R3_CORRECTION_DISCOVERY,PASS_QP091O_NATIVE_ATTENUATED_2A0_R3_CORRECTION_CANDIDATE__RAW_PACKET_REJECTED__TARGET_FREE_GENERATION_REVEALS_125_2477__CATEGORY_SURFACE_UNCHANGED,True,0b1c83e2676c9721feb411f702ea46f499d7433a75a39cf1167132d1161ca4f7
phase_3_earth_A_localization,qp091p,qp091p_summary.json,QP091P_EARTH_SURFACE_A_HIGGS_DIAGNOSTIC,PASS_QP091P_EARTH_LOCALIZED_QP091O_OPERATOR__AE_REPLACES_A0_IN_NUMERATOR_AND_9_8_A_OVER_R5_SHIFT__REVEALS_125_2477385__CATEGORY_SURFACE_UNCHANGED,True,d552a0527d7cd74badbd9a3c5a6a9006e98aece5f65d8836e7d568a69358f631
phase_3_category_split_reset,qp091q,qp091q_summary.json,QP091Q_A0_SCALAR_PARENT_CATEGORY_SPLIT_RESET,PASS_QP091Q_A0_SCALAR_PARENT_CATEGORY_SPLIT_RESET__CATEGORY_1_2_1_BOUNCE_CANCELS__SCALAR_PARENT_RETAINS_9_8_A0_OVER_R5__AE_DUMPED_CONTEXT_ONLY,True,eacb7abcef455f8c8697d24b7d365980a9f3b7e49838135b62d9dc13f23e2db5
phase_3_delta_lane_126_lock,qp091r,qp091r_summary.json,QP091R_CLEAN_126_BOUNCE_SUBTRACTION_LOCK,PASS_QP091R_DELTA_LANE_CLEAN_126_LOCK__QA_SUBTRACTS_FROM_DELTA_BEFORE_INVERSION__TWO_PI_RESIDUE_NEAR_LOCK__EXACT_Q_SOURCE_OPEN,True,82135296db9be3ef4f1d7a9ce5034e6c0d740fe11e3dcf65db1b1cbcdde97b12
phase_3_closed_loop_split_source,qp091s,qp091s_summary.json,QP091S_CLOSED_LOOP_SPLIT_SOURCE_QA_LOCK,PASS_QP091S_CLOSED_LOOP_SPLIT_SOURCE__CATEGORY_1_2_1__QSPLIT_9_OVER_4R6__DELTA_INVERSION_LANE__NEAR_126_WITH_EXACT_SOURCE_OPEN__REVEAL_125_25,True,75351305e556b3b7e2bb7eaebcbe2c07a87b6f8fe978c85d7e5ad5693973114f
PHASE_4_CLOSURE_125_25_EXACT,qp091t,qp091t_summary.json,QP091T_CLOSED_LOOP_R2_RETENTION_SURFACE_DEBIT_DERIVATION,PASS_QP091T_CLOSED_LOOP_R2_RETENTION__H_NATIVE_126_EXACT__SURFACE_DEBIT_125_25_EXACT__HZZ4L_CATEGORY_1_2_1__QSPLIT_DEMOTED_TO_CONTEXT,True,8c9fe94dcd80d7e2b10fd8f9dbcd8c152a1fd4009a959018cb94da84153bb3c7
phase_5_qp091t_hard_freeze,qp091u,qp091u_summary.json,QP091U_FREEZE_AND_WRONG_CONTROL_BREAK_QP091T,PASS_QP091U_QP091T_HARD_FREEZE__WRONG_CONTROLS_D2_D4_R10_R24_NO_DEBIT_D_OVER_R_D2_OVER_R2_REJECTED,True,b87d85be2149f4bd51daa70bcfe39f7e14fe033fb6c21d50e441a037f8b27ee1
phase_5_early_qp092_particle_row,qp092a,qp092a_summary.json,QP092A_PARTICLE_ROW_NATIVE_ROUTE_SURFACE_DEBIT_GRAMMAR_SCAN,PASS_QP092A_PARTICLE_ROW_NATIVE_ROUTE_SURFACE_DEBIT_GRAMMAR__NON_HIGGS_ROWS_REPLAYED__OBSERVED_REVEAL_ONLY__SIGNED_SURFACE_DEBITS_EMITTED__DEBIT_OPERATOR_OPEN,True,dfb7a745fc2c07b7bcd6ee35b77891a41f25dbd4f879d26fd9adfa060b044908
phase_5_early_qp092_S_debit_cluster,qp092b,qp092b_summary.json,QP092B_PARTICLE_S_DEBIT_CLUSTER_GRAMMAR_DISCOVERY,PASS_QP092B_S_DEBIT_CLUSTER_GRAMMAR_DISCOVERY__EXACT_CONTACT_AND_SIGN_CLUSTERS_FOUND__FAMILY_OPERATOR_STRUCTURE_PRESENT__FULL_DEBIT_LAW_OPEN,True,9c52aee14aeac5e3061312f4e52ca3c4402fabbd48244b11a7009eac735d6f51
phase_5_surface_debit_sub_operator,qp091v,qp091v_summary.json,QP091V_PARTICLE_SURFACE_DEBIT_SUB_OPERATOR_ISOLATION,PASS_QP091V_SURFACE_DEBIT_SUB_OPERATOR_ISOLATION__OPERATOR_FIRST_SIGN_SELECTOR__OPERATOR_DEPTH_SOURCE_SIGN_ISOLATES_34_34__MAGNITUDE_PACKET_OPEN,True,ad48f50c3a4b4d693ff4eac1d0f1a6074f59db9a417688f7a1fa78251abff9c6
phase_5_surface_debit_magnitude,qp091w,qp091w_summary.json,QP091W_SURFACE_DEBIT_MAGNITUDE_PACKET_ISOLATION,PASS_QP091W_SURFACE_DEBIT_MAGNITUDE_PACKET_ISOLATION__SIGN_FROZEN_34_34__OPERATOR_QABS_MAGNITUDE_ADDRESS_34_34__R12D3_DEPTH_PACKET_CONTROLS_REJECTED__NUMERIC_PACKET_LAW_OPEN,True,f63c25d00a096824d69035d8e8217d0d664b905234eddec0e0dff936cce33b11
phase_5_surface_debit_numeric,qp091x,qp091x_summary.json,QP091X_SURFACE_DEBIT_NUMERIC_COEFFICIENT_ISOLATION,PASS_QP091X_SURFACE_DEBIT_NUMERIC_COEFFICIENT_ISOLATION__QP091VW_FROZEN__DIRECT_NATIVE_MENU_NONZERO_0_26__QABS_RPOWER_SCAFFOLD_18_23_WITHIN_5PCT__CMAG_NUMERIC_LAW_OPEN,True,8be3c25f44f3facc2ffa99121580de36cc1d36166531e5b62d6ee9e33cbfff62
phase_5_R_power_exponent,qp091y,qp091y_summary.json,QP091Y_SURFACE_DEBIT_R_POWER_EXPONENT_SELECTOR,PASS_QP091Y_SURFACE_DEBIT_R_POWER_EXPONENT_SELECTOR__FEATURE_STACK_GENERATES_DIAGNOSTIC_N_23_23__COEFFICIENT_EXACT_0_23__QABS_RPOWER_18_23_WITHIN_5PCT_RETAINED__CMAG_VALUE_LAW_STILL_OPEN,True,1a83c41f9a17b114e11f6e387656adeaa4283cdde2b800af304cd25e1ee276c4
phase_5_native_menu_value_selector,qp091z,qp091z_summary.json,QP091Z_SURFACE_DEBIT_NATIVE_MENU_VALUE_SELECTOR,PASS_QP091Z_SURFACE_DEBIT_NATIVE_MENU_VALUE_SELECTOR__MENU_STACK_GENERATES_DIAGNOSTIC_MENU_23_23__COEFFICIENT_EXACT_0_23__QABS_RPOWER_18_23_WITHIN_5PCT_RETAINED__FINAL_VALUE_LAW_OPEN,True,af249d9c6cd3828ba45d4b6333924b6803174a304c9aafcdebd8a85d5d5f3d64
phase_5_fine_structure_factor,qp091aa,qp091aa_summary.json,QP091AA_SURFACE_DEBIT_FINE_STRUCTURE_FACTOR_ISOLATION,PASS_QP091AA_SURFACE_DEBIT_FINE_STRUCTURE_FACTOR_ISOLATION__ROUTE_FINE_SELECTOR_GENERATES_DIAGNOSTIC_F_23_23__WITHIN_5PCT_IMPROVES_18_23_TO_23_23__COEFFICIENT_EXACT_0_23__FINAL_RESIDUAL_LAW_OPEN,True,eb0296a65a7bc85d4e2981671a4c363d9fec2a7e57186e5bbee6bc3dff7ed7cc
phase_5_residual_exact_law_isolation,qp091ab,qp091ab_summary.json,QP091AB_SURFACE_DEBIT_RESIDUAL_EXACT_LAW_ISOLATION,PASS_QP091AB_SURFACE_DEBIT_RESIDUAL_EXACT_LAW_ISOLATION__STACK_FROZEN__EPSILON_IDENTITY_WITHIN5_23_23__NO_EXACT_NATIVE_RESIDUAL_CLOSURE__RESIDUAL_BOUNDARY_OPEN,True,d4edaec75cbf4d26abbc55c1ff9812301c342fed78d228ff3aa1086690ca8856
phase_5_epsilon_cartography,qp091ac,qp091ac_summary.json,QP091AC_EPSILON_RESIDUAL_CARTOGRAPHY,PASS_QP091AC_EPSILON_RESIDUAL_CARTOGRAPHY__STACK_FROZEN__EPSILON_OBJECT_MAPPED_23_23__REFERENCE_SOURCE_AXES_EMITTED__NO_FIT_NO_EXACT_CLOSURE,True,8e5b3efcf0bd7414a5c5e5b7ccc84b333350c20ac7dc5420baddecb48d48940a
phase_5_reference_spread_BOUNDARY,qp091ad,qp091ad_summary.json,QP091AD_REFERENCE_SPREAD_BOUNDARY_TEST,PASS_QP091AD_REFERENCE_SPREAD_BOUNDARY_TEST__EPSILON_SOURCE_REFERENCE_CONTRAST_INDICATED__EXACT_RESIDUAL_STILL_OPEN__REFERENCE_BOUNDARY_NOT_UNIVERSAL_OPERATOR,True,511b25f604fee8f7bf0fe9eb8d64bdb9dff6453645af27d9d59a76ec8b6c7c3b
